Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
106,Nebraska,B10,12-19,5.32,105.4,100.0,67.9,0.011,11.63,111.6,100.0,6.8
107,UNC Asheville,BSth,23-10,5.19,107.9,102.7,68.1,0.012,-4.52,102.5,107.0,6.72
108,FL Gulf Coast,ASun,26-8,5.18,109.8,104.6,65.7,0.037,-4.64,104.1,108.7,2.35
109,St Peter's,MAAC,20-13,5.11,102.9,97.8,60.6,-0.043,-3.34,104.1,107.4,-2.32
110,NC State,ACC,15-17,4.93,112.9,107.9,70.2,0.019,7.63,108.9,101.2,-6.12
111,Winthrop,BSth,26-7,4.89,106.7,101.8,71.0,0.029,-6.7,101.2,107.9,2.18
112,San Francisco,WCC,20-13,4.74,103.1,98.4,69.0,0.008,-1.16,104.3,105.5,-5.66
113,Harvard,Ivy,18-10,4.72,107.1,102.3,66.9,-0.07,-2.75,103.2,106.0,-0.75
114,Chattanooga,SC,19-12,4.54,107.1,102.5,65.3,-0.01,-0.81,105.9,106.7,2.36
115,Towson,CAA,20-13,4.25,105.8,101.6,67.7,-0.009,-0.49,105.5,106.0,-1.4
116,Lehigh,Pat,20-12,4.23,107.8,103.6,69.5,-0.034,-2.46,102.2,104.6,3.61
117,Temple,Amer,16-16,3.95,108.6,104.6,66.9,0.015,3.36,105.4,102.0,0.79
118,Iona,MAAC,22-13,3.83,110.9,107.0,70.5,0.013,-2.22,104.0,106.2,-0.01
119,UNC Greensboro,SC,25-10,3.45,108.2,104.7,66.7,0.11,-1.22,105.3,106.5,-1.33
120,Old Dominion,CUSA,19-12,3.43,100.9,97.5,60.9,-0.013,-2.34,104.3,106.7,1.59
121,New Mexico,MWC,17-14,3.22,106.7,103.5,68.7,0.024,1.97,105.6,103.6,-1.32
122,Buffalo,MAC,17-15,3.16,105.7,102.5,71.2,-0.053,-0.32,105.6,106.0,2.53
123,George Mason,A10,20-14,3.16,107.7,104.5,68.6,0.027,0.63,103.8,103.2,-3.42
124,Arkansas St,SB,20-12,3.11,106.8,103.7,67.1,0.022,-1.26,103.9,105.2,3.26
125,Santa Clara,WCC,17-16,2.84,105.8,103.0,62.4,-0.014,0.47,103.9,103.5,-4.41
126,Arizona St,P12,15-18,2.75,112.1,109.4,69.8,0.035,6.53,108.9,102.4,-0.98
127,Toledo,MAC,17-17,2.72,109.1,106.4,66.5,-0.081,-0.85,105.3,106.2,0.61
128,Albany NY,AE,21-14,2.68,107.8,105.1,64.1,-0.038,-5.06,102.2,107.2,-1.99
129,Georgia St,SB,20-13,2.51,104.2,101.7,68.4,0.014,-1.08,104.7,105.8,2.33
130,Rutgers,B10,15-18,2.37,101.8,99.5,66.1,0.006,6.92,107.9,100.9,-9.34
131,G Washington,A10,20-15,2.34,108.0,105.7,65.6,0.067,1.47,104.7,103.3,-1.65
132,William & Mary,CAA,17-14,2.33,112.3,110.0,70.8,-0.003,0.63,106.1,105.5,1.27
133,Missouri St,MVC,17-16,2.27,108.6,106.4,66.0,-0.055,-0.19,104.0,104.1,-6.14
134,Utah St,MWC,15-17,2.23,107.0,104.8,66.4,-0.066,1.85,105.3,103.5,-0.36
135,Troy,SB,22-15,2.18,110.1,107.9,68.0,-0.023,-2.65,102.9,105.5,-6.79
136,Elon,CAA,18-14,2.18,104.6,102.5,67.6,-0.021,-0.69,105.7,106.4,-1.7
137,N Kentucky,Horz,24-11,1.98,107.1,105.1,67.9,0.073,-3.19,103.3,106.5,-2.4
138,UC Irvine,BW,21-15,1.86,102.2,100.3,66.3,-0.011,-3.22,102.7,105.9,7.04
139,La Salle,A10,15-15,1.82,110.9,109.1,68.5,0.028,2.27,105.3,103.0,1.24
140,Wyoming,MWC,20-14,1.76,104.6,102.9,72.9,0.011,-0.52,104.8,105.4,-2.01
141,Wofford,SC,16-17,1.74,110.3,108.6,66.6,-0.067,1.19,106.0,104.8,6.8
142,Kent,MAC,22-14,1.72,105.3,103.6,68.1,0.024,-1.8,104.7,106.5,-5.81
143,IPFW,Sum,20-12,1.69,110.0,108.3,71.4,-0.027,-3.44,105.7,109.1,-4.15
144,South Dakota,Sum,22-12,1.66,104.5,102.9,70.6,0.066,-2.38,105.9,108.3,-1.76
145,Mercer,SC,15-17,1.6,110.1,108.5,61.5,-0.064,0.4,105.8,105.4,3.68
146,ULL,SB,21-12,1.44,111.5,110.0,72.1,0.034,-2.5,103.0,105.5,-4.3
147,Tulsa,Amer,15-17,1.43,104.6,103.2,68.0,0.055,4.65,106.1,101.5,2.09
148,Utah Valley,WAC,17-16,1.36,101.6,100.2,73.0,-0.078,-1.37,102.7,104.1,1.45
149,E Michigan,MAC,16-17,1.26,106.5,105.2,67.9,-0.078,0.73,106.9,106.2,5.27
150,Marshall,CUSA,20-15,1.14,111.1,110.0,77.5,0.027,-1.28,103.6,104.9,0.88
151,S Illinois,MVC,17-16,1.06,105.1,104.0,65.2,0.047,1.22,104.5,103.2,-2.91
152,Grand Canyon,WAC,22-9,1.01,102.0,101.0,68.8,0.078,-5.84,100.5,106.4,-7.72
153,Yale,Ivy,18-11,1.01,106.5,105.5,68.0,0.055,-1.97,104.0,105.9,-1.28
154,Evansville,MVC,16-17,0.82,104.4,103.6,66.6,-0.024,1.15,105.0,103.9,-2.3
155,Rice,CUSA,23-12,0.68,108.1,107.5,72.5,-0.028,-5.43,101.5,106.9,-6.34
156,Northeastern,CAA,15-16,0.66,107.4,106.7,65.9,-0.014,1.0,105.7,104.7,2.51
157,Jacksonville St,OVC,20-15,0.65,106.2,105.5,63.4,0.028,-1.57,104.5,106.1,0.69
158,Massachusetts,A10,15-18,0.64,100.9,100.3,71.7,-0.042,0.93,105.2,104.3,-4.46
159,Tennessee St,OVC,17-13,0.62,100.6,100.0,66.8,-0.016,-2.19,104.9,107.1,3.57
160,Samford,SC,20-16,0.52,108.2,107.7,68.4,-0.036,-2.23,104.3,106.5,-3.36
161,NC Central,MEAC,25-9,0.48,102.7,102.2,66.5,-0.055,-12.31,98.0,110.3,-0.52
162,Missouri,SEC,8-24,0.47,101.8,101.3,67.8,-0.16,6.71,108.3,101.6,-4.96
163,Wright St,Horz,20-12,0.42,107.0,106.5,68.8,0.056,-2.05,103.4,105.4,1.0
164,W Michigan,MAC,16-16,0.4,107.5,107.1,67.7,-0.016,-0.43,105.8,106.2,2.05
165,N Dakota St,Sum,19-11,0.39,105.0,104.6,66.6,0.081,-1.66,106.0,107.6,0.67
166,Lipscomb,ASun,20-13,0.31,107.6,107.3,74.0,-0.017,-4.51,103.5,108.0,1.12
167,Washington,P12,9-22,0.22,108.1,107.8,70.8,-0.102,6.79,109.7,102.9,-2.39
168,North Dakota,BSky,22-10,0.08,104.0,103.9,71.4,0.048,-5.55,103.3,108.8,3.44
169,Northern Iowa,MVC,14-16,-0.04,97.8,97.9,63.3,0.054,4.53,107.5,103.0,7.93
170,Texas St,SB,21-13,-0.12,102.8,102.9,61.9,0.023,-4.08,102.8,106.9,-8.17
171,Penn,Ivy,13-15,-0.21,102.8,103.0,66.5,-0.053,-1.61,103.9,105.5,0.28
172,NE Omaha,Sum,18-14,-0.22,109.0,109.2,73.6,0.086,-0.32,106.6,106.9,4.19
173,Boston College,ACC,9-23,-0.32,104.2,104.5,71.0,-0.032,8.2,110.7,102.5,-6.4
174,Loy Marymount,WCC,15-15,-0.37,103.3,103.7,67.1,0.025,0.03,105.2,105.2,-4.97
175,Gardner Webb,BSth,19-14,-0.42,103.2,103.7,70.6,-0.041,-5.2,102.0,107.2,4.51
176,LSU,SEC,10-21,-0.45,109.9,110.3,71.7,0.008,9.11,108.9,99.8,3.01
177,Siena,MAAC,17-17,-0.46,106.3,106.8,68.5,-0.009,-1.38,104.8,106.2,5.59
178,Ball St,MAC,21-13,-0.55,105.1,105.6,70.9,0.041,-3.78,103.6,107.4,-10.83
179,Weber St,BSky,20-14,-0.61,108.7,109.3,66.8,-0.03,-4.66,103.6,108.2,1.47
180,New Hampshire,AE,20-12,-0.68,102.7,103.4,65.3,0.063,-4.37,103.0,107.4,-0.41
181,New Orleans,Slnd,20-12,-0.89,101.3,102.2,66.0,0.046,-5.62,102.5,108.1,8.37
182,DePaul,BE,9-23,-1.0,103.8,104.8,67.5,-0.069,7.1,109.1,102.0,-7.11
183,S Dakota St,Sum,18-17,-1.05,110.6,111.6,67.0,0.029,-0.37,105.3,105.7,1.67
184,St Joseph's PA,A10,11-20,-1.05,102.5,103.6,68.2,-0.032,3.42,106.3,102.9,3.38
185,E Washington,BSky,22-12,-1.27,109.9,111.2,66.5,0.082,-5.08,103.3,108.4,2.28
186,Denver,Sum,16-14,-1.29,108.1,109.4,66.6,-0.007,-3.46,104.3,107.7,-4.97
187,Hofstra,CAA,15-17,-1.34,111.4,112.8,67.5,-0.035,-1.37,104.4,105.8,-2.79
188,WI Green Bay,Horz,18-14,-1.37,102.3,103.7,74.2,0.032,-2.73,104.3,107.0,-0.24
189,East Carolina,Amer,15-18,-1.45,97.3,98.8,66.7,0.013,0.62,105.4,104.8,-10.78
190,Canisius,MAAC,18-16,-1.61,108.7,110.3,69.4,0.005,-3.0,103.3,106.3,-0.98
191,Boston Univ,Pat,18-14,-1.73,102.0,103.7,69.5,0.003,-4.08,102.1,106.2,-0.84
192,Washington St,P12,13-18,-1.77,104.7,106.5,67.5,0.067,6.39,109.5,103.1,-3.0
193,Ga Southern,SB,18-15,-1.87,105.6,107.5,68.4,0.049,-0.97,105.1,106.0,2.03
194,Montana,BSky,16-16,-2.11,106.4,108.5,66.6,-0.051,-4.93,103.8,108.7,0.64
195,UMBC,AE,20-12,-2.28,109.0,111.3,70.6,0.026,-5.93,101.8,107.7,-3.27
196,Texas A&M,Slnd,22-11,-2.45,103.3,105.8,68.3,0.083,-6.75,101.6,108.4,2.45
197,UAB,CUSA,17-16,-2.54,104.2,106.7,65.9,-0.008,-2.39,103.9,106.2,0.16
198,IUPUI,Sum,14-18,-2.56,107.4,109.9,69.1,-0.036,-0.37,106.1,106.5,3.8
199,Murray St,OVC,16-17,-2.56,107.5,110.1,68.5,-0.087,-3.93,103.9,107.8,0.1
