OriTeamName,AdjTeamName
Harvard,Harvard
Jacksonville St,Jacksonville St
Presbyterian,Presbyterian
Towson,Towson
Stetson,Stetson
Louisiana Lafayette,ULL
Appalachian St,Appalachian St
UMBC,UMBC
New Hampshire,New Hampshire
UNC Asheville,UNC Asheville
Princeton,Princeton
FIU,Florida Intl
Lehigh,Lehigh
Coppin St,Coppin St
Eastern Illinois,E Illinois
Detroit,Detroit
Saint Peter's,St Peter's
Cal Poly,Cal Poly SLO
Penn,Penn
Cal St Bakersfield,CS Bakersfield
Tennessee St,Tennessee St
Hampton,Hampton
South Carolina St,S Carolina St
Wagner,Wagner
Winthrop,Winthrop
Quinnipiac,Quinnipiac
Columbia,Columbia
UMKC,Missouri KC
New Orleans,New Orleans
USC Upstate,SC Upstate
Coastal Carolina,Coastal Car
Florida Atlantic,FL Atlantic
Prairie View A&M,Prairie View
Bethune Cookman,Bethune-Cookman
Central Connecticut,Central Conn
Northern Illinois,N Illinois
Army,Army
Elon,Elon
Louisiana Monroe,ULM
Bucknell,Bucknell
Pepperdine,Pepperdine
Maine,Maine
Toledo,Toledo
Florida Gulf Coast,FL Gulf Coast
Western Illinois,W Illinois
North Carolina A&T,NC A&T
St Francis NY,St Francis NY
Brown,Brown
SIU Edwardsville,Edwardsville
Arkansas Pine Bluff,Ark Pine Bluff
Norfolk St,Norfolk St
UNC Wilmington,UNC Wilmington
High Point,High Point
Georgia Southern,Ga Southern
Eastern Michigan,E Michigan
Colgate,Colgate
Longwood,Longwood
Charleston Southern,Charleston So
Savannah St,Savannah St
Hartford,Hartford
Dartmouth,Dartmouth
Northwestern St,Northwestern LA
Delaware St,Delaware St
Lafayette,Lafayette
Central Arkansas,Cent Arkansas
Houston Baptist,Houston Bap
Fordham,Fordham
Texas Southern,TX Southern
Texas Pan American,UTRGV
UNC Greensboro,UNC Greensboro
Loyola Marymount,Loy Marymount
Mississippi Valley St,MS Valley St
Monmouth,Monmouth NJ
Furman,Furman
St Francis PA,St Francis PA
Southern,Southern Univ
Howard,Howard
Florida A&M,Florida A&M
North Florida,North Florida
Bryant,Bryant
Alabama A&M,Alabama A&M
Fairleigh Dickinson,F Dickinson
Southeast Missouri St,SE Missouri St
Kennesaw St,Kennesaw
Winston Salem St,W Salem St
Sacramento St,CS Sacramento
Alcorn St,Alcorn St
Grambling St,Grambling
Maryland Eastern Shore,MD E Shore
North Carolina Central,NC Central
NJIT,NJIT
