OriTeamName,AdjTeamName
UCF,UCF
Central Connecticut,Central Conn
The Citadel,Citadel
Wichita St,Wichita St
Toledo,Toledo
Rider,Rider
Delaware,Delaware
San Francisco,San Francisco
Troy St,Troy
Cal Poly,Cal Poly SLO
Eastern Washington,E Washington
UTSA,UT San Antonio
North Texas,North Texas
Holy Cross,Holy Cross
UMKC,Missouri KC
Old Dominion,Old Dominion
Southern Miss,Southern Miss
Marshall,Marshall
Texas Pan American,UTRGV
Morehead St,Morehead St
IUPUI,IUPUI
DePaul,DePaul
Furman,Furman
New Orleans,New Orleans
Siena,Siena
James Madison,James Madison
Drake,Drake
Long Beach St,Long Beach St
Drexel,Drexel
Samford,Samford
Northern Iowa,Northern Iowa
Air Force,Air Force
Cal St Northridge,CS Northridge
Niagara,Niagara
East Carolina,East Carolina
Buffalo,Buffalo
Northern Illinois,N Illinois
Jacksonville,Jacksonville
Louisiana Monroe,ULM
Boise St,Boise St
UTEP,UTEP
Vermont,Vermont
Florida Atlantic,FL Atlantic
Cleveland St,Cleveland St
West Virginia,West Virginia
Boston University,Boston Univ
Gardner Webb,Gardner Webb
Radford,Radford
Austin Peay,Austin Peay
George Washington,G Washington
Penn St,Penn St
Sam Houston St,Sam Houston St
Wagner,Wagner
Middle Tennessee,MTSU
Rice,Rice
Central Michigan,C Michigan
Brown,Brown
American,American Univ
Green Bay,WI Green Bay
Fairfield,Fairfield
Centenary,Centenary
Montana,Montana
Santa Clara,Santa Clara
Bradley,Bradley
Fordham,Fordham
Texas A&M,Texas A&M
Southern Utah,Southern Utah
Washington St,Washington St
Belmont,Belmont
Iona,Iona
Northern Arizona,Northern Arizona
Winthrop,Winthrop
Hofstra,Hofstra
William & Mary,William & Mary
Colgate,Colgate
Howard,Howard
Duquesne,Duquesne
Saint Mary's,St Mary's CA
Akron,Akron
Indiana St,Indiana St
Southwest Texas St,Texas St
Appalachian St,Appalachian St
Western Carolina,W Carolina
Eastern Illinois,E Illinois
Monmouth,Monmouth NJ
FIU,Florida Intl
Rhode Island,Rhode Island
Tennessee St,Tennessee St
Harvard,Harvard
Lafayette,Lafayette
Columbia,Columbia
Northwestern St,Northwestern LA
VMI,VMI
Delaware St,Delaware St
UMBC,UMBC
Wofford,Wofford
Jacksonville St,Jacksonville St
Tennessee Martin,TN Martin
Lamar,Lamar
Portland St,Portland St
Texas A&M Corpus Chris,TAM C. Christi
UT Arlington,UT Arlington
San Jose St,San Jose St
Alcorn St,Alcorn St
UC Riverside,UC Riverside
St Francis NY,St Francis NY
South Alabama,South Alabama
Denver,Denver
Canisius,Canisius
Portland,Portland
Quinnipiac,Quinnipiac
Western Illinois,W Illinois
Stephen F Austin,SF Austin
Alabama A&M,Alabama A&M
UNC Asheville,UNC Asheville
Loyola Marymount,Loy Marymount
Evansville,Evansville
South Carolina St,S Carolina St
Idaho St,Idaho St
Stetson,Stetson
Bucknell,Bucknell
Navy,Navy
North Carolina A&T,NC A&T
Alabama St,Alabama St
Southeast Missouri St,SE Missouri St
Towson,Towson
Hartford,Hartford
Sacramento St,CS Sacramento
Idaho,Idaho
Charleston Southern,Charleston So
Florida A&M,Florida A&M
Northeastern,Northeastern
Elon,Elon
Mississippi Valley St,MS Valley St
Maine,Maine
Cal St Fullerton,CS Fullerton
Bethune Cookman,Bethune-Cookman
Youngstown St,Youngstown St
New Hampshire,New Hampshire
Norfolk St,Norfolk St
Army,Army
Robert Morris,Robert Morris
IPFW,IPFW
Binghamton,Binghamton
Jackson St,Jackson St
Mercer,Mercer
Eastern Kentucky,E Kentucky
Maryland Eastern Shore,MD E Shore
Birmingham Southern,Birmingham So
Lehigh,Lehigh
Sacred Heart,Sacred Heart
Southeastern Louisiana,SE Louisiana
Campbell,Campbell
High Point,High Point
Cornell,Cornell
Dartmouth,Dartmouth
St Francis PA,St Francis PA
Coastal Carolina,Coastal Car
Eastern Michigan,E Michigan
Saint Peter's,St Peter's
Grambling St,Grambling
Lipscomb,Lipscomb
Texas Southern,TX Southern
Stony Brook,Stony Brook
Loyola MD,Loyola MD
Albany,Albany NY
Coppin St,Coppin St
Morgan St,Morgan St
Southern,Southern Univ
Fairleigh Dickinson,F Dickinson
Prairie View A&M,Prairie View
Chicago St,Chicago St
LIU Brooklyn,Long Island
Liberty,Liberty
Nicholls St,Nicholls St
Arkansas Pine Bluff,Ark Pine Bluff
Mount St Mary's,Mt St Mary's
Morris Brown,Morris Brown
Savannah St,Savannah St
