OriTeamName,AdjTeamName
San Francisco,San Francisco
Mercer,Mercer
Florida Atlantic,FL Atlantic
Austin Peay,Austin Peay
Georgia St,Georgia St
San Diego,San Diego
Cal St Fullerton,CS Fullerton
Eastern Illinois,E Illinois
Maine,Maine
Loyola MD,Loyola MD
UNC Wilmington,UNC Wilmington
James Madison,James Madison
Louisiana Lafayette,ULL
Loyola Chicago,Loyola-Chicago
Radford,Radford
South Dakota St,S Dakota St
Evansville,Evansville
Northern Arizona,Northern Arizona
Ball St,Ball St
Cal St Northridge,CS Northridge
Tulane,Tulane
Winthrop,Winthrop
UC Davis,UC Davis
Hampton,Hampton
Texas St,Texas St
Youngstown St,Youngstown St
UC Riverside,UC Riverside
Arkansas Pine Bluff,Ark Pine Bluff
East Carolina,East Carolina
Furman,Furman
Hawaii,Hawaii
Holy Cross,Holy Cross
Northern Illinois,N Illinois
IPFW,IPFW
Santa Clara,Santa Clara
Lafayette,Lafayette
Wyoming,Wyoming
UT Arlington,UT Arlington
Cal Poly,Cal Poly SLO
North Dakota St,N Dakota St
Bucknell,Bucknell
Illinois Chicago,IL Chicago
Towson,Towson
South Dakota,South Dakota
Chattanooga,Chattanooga
South Alabama,South Alabama
Rice,Rice
Samford,Samford
UC Irvine,UC Irvine
UNC Greensboro,UNC Greensboro
Air Force,Air Force
South Carolina St,S Carolina St
Tennessee Tech,Tennessee Tech
Delaware,Delaware
Tennessee St,Tennessee St
Army,Army
New Hampshire,New Hampshire
Elon,Elon
Delaware St,Delaware St
Jacksonville St,Jacksonville St
Yale,Yale
Eastern Washington,E Washington
North Florida,North Florida
Texas Southern,TX Southern
Kennesaw St,Kennesaw
Western Illinois,W Illinois
LIU Brooklyn,Long Island
Binghamton,Binghamton
Norfolk St,Norfolk St
Nicholls St,Nicholls St
Jackson St,Jackson St
UNC Asheville,UNC Asheville
Sacred Heart,Sacred Heart
USC Upstate,SC Upstate
Louisiana Monroe,ULM
McNeese St,McNeese St
Idaho St,Idaho St
Arkansas Little Rock,Ark Little Rock
Lamar,Lamar
Liberty,Liberty
Cal St Bakersfield,CS Bakersfield
Brown,Brown
Pepperdine,Pepperdine
High Point,High Point
Alabama St,Alabama St
Sacramento St,CS Sacramento
Navy,Navy
Colgate,Colgate
Bethune Cookman,Bethune-Cookman
American,American Univ
Charleston Southern,Charleston So
Albany,Albany NY
Monmouth,Monmouth NJ
Columbia,Columbia
Longwood,Longwood
UMKC,Missouri KC
Georgia Southern,Ga Southern
Florida Gulf Coast,FL Gulf Coast
North Carolina A&T,NC A&T
Northwestern St,Northwestern LA
Central Arkansas,Cent Arkansas
Fordham,Fordham
FIU,Florida Intl
Savannah St,Savannah St
Penn,Penn
Central Connecticut,Central Conn
Prairie View A&M,Prairie View
St Francis NY,St Francis NY
Hartford,Hartford
Southeast Missouri St,SE Missouri St
St Francis PA,St Francis PA
New Orleans,New Orleans
Fairleigh Dickinson,F Dickinson
VMI,VMI
Maryland Eastern Shore,MD E Shore
Centenary,Centenary
Texas Pan American,UTRGV
Houston Baptist,Houston Bap
UMBC,UMBC
Coppin St,Coppin St
Southern Utah,Southern Utah
Toledo,Toledo
Utah Valley,Utah Valley
Alabama A&M,Alabama A&M
Mississippi Valley St,MS Valley St
Presbyterian,Presbyterian
Stetson,Stetson
Winston Salem St,W Salem St
Gardner Webb,Gardner Webb
Florida A&M,Florida A&M
Tennessee Martin,TN Martin
Marist,Marist
Wagner,Wagner
Howard,Howard
NJIT,NJIT
North Carolina Central,NC Central
SIU Edwardsville,Edwardsville
Dartmouth,Dartmouth
Chicago St,Chicago St
North Dakota,North Dakota
Grambling St,Grambling
Southern,Southern Univ
Bryant,Bryant
Alcorn St,Alcorn St
