OriTeamName,AdjTeamName
East Carolina,East Carolina
Green Bay,WI Green Bay
Canisius,Canisius
Boston University,Boston Univ
Washington St,Washington St
Georgia Southern,Ga Southern
Montana,Montana
UMBC,UMBC
Texas A&M Corpus Chris,TAM C. Christi
UAB,UAB
Coastal Carolina,Coastal Car
Murray St,Murray St
IUPUI,IUPUI
Indiana St,Indiana St
UTEP,UTEP
Morehead St,Morehead St
Fordham,Fordham
Liberty,Liberty
Navy,Navy
Northern Illinois,N Illinois
Fairfield,Fairfield
Mount St Mary's,Mt St Mary's
Tennessee Martin,TN Martin
Stony Brook,Stony Brook
Rider,Rider
Texas Southern,TX Southern
Idaho,Idaho
Holy Cross,Holy Cross
San Jose St,San Jose St
Bradley,Bradley
UMKC,Missouri KC
UC Davis,UC Davis
Eastern Illinois,E Illinois
James Madison,James Madison
Duquesne,Duquesne
Air Force,Air Force
Houston Baptist,Houston Bap
Long Beach St,Long Beach St
Loyola MD,Loyola MD
Southeast Missouri St,SE Missouri St
Lamar,Lamar
Central Michigan,C Michigan
Army,Army
Oral Roberts,Oral Roberts
Western Kentucky,WKU
Columbia,Columbia
Illinois Chicago,IL Chicago
Charlotte,Charlotte
Southeastern Louisiana,SE Louisiana
Montana St,Montana St
Portland St,Portland St
Sam Houston St,Sam Houston St
South Alabama,South Alabama
Tulane,Tulane
Cleveland St,Cleveland St
Stephen F Austin,SF Austin
Little Rock,Ark Little Rock
USC Upstate,SC Upstate
Pacific,Pacific
Wagner,Wagner
Bowling Green,Bowling Green
Drexel,Drexel
UNLV,UNLV
UTSA,UT San Antonio
Kennesaw St,Kennesaw
LIU Brooklyn,Long Island
St Francis PA,St Francis PA
North Florida,North Florida
Tennessee Tech,Tennessee Tech
Niagara,Niagara
Drake,Drake
Milwaukee,WI Milwaukee
Louisiana Monroe,ULM
San Diego,San Diego
Cal St Fullerton,CS Fullerton
Seattle,Seattle
Cornell,Cornell
Robert Morris,Robert Morris
Colgate,Colgate
Oregon St,Oregon St
Fairleigh Dickinson,F Dickinson
High Point,High Point
Hawaii,Hawaii
Campbell,Campbell
Florida Atlantic,FL Atlantic
Appalachian St,Appalachian St
Eastern Kentucky,E Kentucky
Saint Louis,St Louis
Jacksonville,Jacksonville
FIU,Florida Intl
Brown,Brown
Miami OH,Miami OH
Portland,Portland
Bryant,Bryant
Youngstown St,Youngstown St
Northern Colorado,N Colorado
NJIT,NJIT
Alcorn St,Alcorn St
Cal St Northridge,CS Northridge
The Citadel,Citadel
Manhattan,Manhattan
Austin Peay,Austin Peay
Delaware,Delaware
Sacramento St,CS Sacramento
South Florida,South Florida
Radford,Radford
UMass Lowell,MA Lowell
Western Illinois,W Illinois
Northwestern St,Northwestern LA
Quinnipiac,Quinnipiac
Norfolk St,Norfolk St
UT Rio Grande Valley,UTRGV
Sacred Heart,Sacred Heart
Detroit,Detroit
Pepperdine,Pepperdine
Abilene Christian,Abilene Chr
Dartmouth,Dartmouth
American,American Univ
Cal Poly,Cal Poly SLO
Incarnate Word,Incarnate Word
Charleston Southern,Charleston So
Hampton,Hampton
UC Riverside,UC Riverside
Prairie View A&M,Prairie View
Binghamton,Binghamton
Central Arkansas,Cent Arkansas
Marist,Marist
Nicholls St,Nicholls St
Savannah St,Savannah St
SIU Edwardsville,Edwardsville
Stetson,Stetson
McNeese St,McNeese St
North Texas,North Texas
Maryland Eastern Shore,MD E Shore
Western Carolina,W Carolina
Northern Arizona,Northern Arizona
Morgan St,Morgan St
Southern Miss,Southern Miss
Southern,Southern Univ
VMI,VMI
Grambling St,Grambling
Jackson St,Jackson St
Lafayette,Lafayette
UC Santa Barbara,Santa Barbara
Idaho St,Idaho St
Southern Utah,Southern Utah
Hartford,Hartford
Chicago St,Chicago St
South Carolina St,S Carolina St
Maine,Maine
Howard,Howard
Delaware St,Delaware St
Bethune Cookman,Bethune-Cookman
Central Connecticut,Central Conn
Alabama St,Alabama St
Coppin St,Coppin St
Mississippi Valley St,MS Valley St
Florida A&M,Florida A&M
St Francis NY,St Francis NY
Longwood,Longwood
Arkansas Pine Bluff,Ark Pine Bluff
North Carolina A&T,NC A&T
Presbyterian,Presbyterian
Alabama A&M,Alabama A&M
