OriTeamName,AdjTeamName
Portland,Portland
Virginia,Virginia
Fairfield,Fairfield
UCF,UCF
James Madison,James Madison
Northern Iowa,Northern Iowa
LIU Brooklyn,Long Island
Indiana St,Indiana St
South Dakota St,S Dakota St
Wright St,Wright St
East Tennessee St,ETSU
Arkansas,Arkansas
Montana,Montana
Buffalo,Buffalo
Santa Clara,Santa Clara
Coastal Carolina,Coastal Car
Akron,Akron
Rhode Island,Rhode Island
Northern Colorado,N Colorado
Texas Tech,Texas Tech
Oral Roberts,Oral Roberts
IUPUI,IUPUI
Northern Arizona,Northern Arizona
Rider,Rider
Air Force,Air Force
South Florida,South Florida
Vermont,Vermont
Saint Louis,St Louis
South Carolina,South Carolina
UC Santa Barbara,Santa Barbara
Detroit,Detroit
Murray St,Murray St
Mississippi St,Mississippi St
Hofstra,Hofstra
Loyola Chicago,Loyola-Chicago
Arizona St,Arizona St
Milwaukee,WI Milwaukee
Austin Peay,Austin Peay
Saint Peter's,St Peter's
Utah,Utah
Furman,Furman
New Mexico St,New Mexico St
Oklahoma,Oklahoma
Idaho,Idaho
Davidson,Davidson
Pacific,Pacific
San Francisco,San Francisco
UNC Asheville,UNC Asheville
Ohio,Ohio
St Bonaventure,St Bonaventure
Robert Morris,Robert Morris
Lipscomb,Lipscomb
East Carolina,East Carolina
Rice,Rice
Jacksonville,Jacksonville
Central Connecticut,Central Conn
Green Bay,WI Green Bay
Oregon St,Oregon St
Nevada,Nevada
Hawaii,Hawaii
North Dakota St,N Dakota St
SMU,SMU
Quinnipiac,Quinnipiac
Ball St,Ball St
Cal Poly,Cal Poly SLO
Weber St,Weber St
Western Michigan,W Michigan
Evansville,Evansville
TCU,TCU
Boston University,Boston Univ
George Washington,G Washington
La Salle,La Salle
American,American Univ
North Texas,North Texas
IPFW,IPFW
Fresno St,Fresno St
San Jose St,San Jose St
Sam Houston St,Sam Houston St
Massachusetts,Massachusetts
Loyola MD,Loyola MD
Yale,Yale
Canisius,Canisius
Western Carolina,W Carolina
Penn,Penn
Saint Joseph's,St Joseph's PA
Miami OH,Miami OH
Florida Atlantic,FL Atlantic
Lehigh,Lehigh
Middle Tennessee,MTSU
Tulane,Tulane
Cornell,Cornell
Bradley,Bradley
Northeastern,Northeastern
Arkansas St,Arkansas St
Delaware,Delaware
Loyola Marymount,Loy Marymount
DePaul,DePaul
VMI,VMI
Maine,Maine
Drake,Drake
Mercer,Mercer
UNC Wilmington,UNC Wilmington
Siena,Siena
St Francis NY,St Francis NY
McNeese St,McNeese St
Charlotte,Charlotte
Hampton,Hampton
Appalachian St,Appalachian St
Stephen F Austin,SF Austin
Tennessee Tech,Tennessee Tech
Charleston Southern,Charleston So
Southern Illinois,S Illinois
Columbia,Columbia
Western Kentucky,WKU
Georgia St,Georgia St
UC Irvine,UC Irvine
Arkansas Little Rock,Ark Little Rock
Denver,Denver
North Florida,North Florida
Winthrop,Winthrop
Cal St Northridge,CS Northridge
Pepperdine,Pepperdine
Houston,Houston
Lafayette,Lafayette
Holy Cross,Holy Cross
William & Mary,William & Mary
Wagner,Wagner
UTSA,UT San Antonio
Wyoming,Wyoming
Liberty,Liberty
Stony Brook,Stony Brook
LSU,LSU
Auburn,Auburn
Nicholls St,Nicholls St
Illinois St,Illinois St
Louisiana Lafayette,ULL
Brown,Brown
Eastern Kentucky,E Kentucky
Elon,Elon
Tennessee St,Tennessee St
Bowling Green,Bowling Green
Albany,Albany NY
Lamar,Lamar
Louisiana Tech,Louisiana Tech
UC Davis,UC Davis
Morgan St,Morgan St
Mount St Mary's,Mt St Mary's
Campbell,Campbell
Montana St,Montana St
Illinois Chicago,IL Chicago
Texas St,Texas St
Presbyterian,Presbyterian
Youngstown St,Youngstown St
Utah Valley,Utah Valley
UT Arlington,UT Arlington
Cal St Fullerton,CS Fullerton
Southeastern Louisiana,SE Louisiana
Wake Forest,Wake Forest
Southern Utah,Southern Utah
Eastern Washington,E Washington
Northwestern St,Northwestern LA
Savannah St,Savannah St
Sacred Heart,Sacred Heart
Chattanooga,Chattanooga
UC Riverside,UC Riverside
Coppin St,Coppin St
Portland St,Portland St
Seattle,Seattle
Gardner Webb,Gardner Webb
Navy,Navy
UMKC,Missouri KC
Central Michigan,C Michigan
Northern Illinois,N Illinois
Troy,Troy
Texas Southern,TX Southern
St Francis PA,St Francis PA
Monmouth,Monmouth NJ
Army,Army
Towson,Towson
Jackson St,Jackson St
The Citadel,Citadel
Eastern Michigan,E Michigan
UNC Greensboro,UNC Greensboro
Florida Gulf Coast,FL Gulf Coast
New Hampshire,New Hampshire
FIU,Florida Intl
South Dakota,South Dakota
Fordham,Fordham
Hartford,Hartford
Bethune Cookman,Bethune-Cookman
Jacksonville St,Jacksonville St
North Carolina A&T,NC A&T
San Diego,San Diego
South Alabama,South Alabama
Southeast Missouri St,SE Missouri St
Tennessee Martin,TN Martin
Norfolk St,Norfolk St
North Dakota,North Dakota
Stetson,Stetson
Niagara,Niagara
Idaho St,Idaho St
Alabama St,Alabama St
Eastern Illinois,E Illinois
Bryant,Bryant
Delaware St,Delaware St
Cal St Bakersfield,CS Bakersfield
Mississippi Valley St,MS Valley St
Samford,Samford
High Point,High Point
NJIT,NJIT
Manhattan,Manhattan
North Carolina Central,NC Central
Colgate,Colgate
Binghamton,Binghamton
Texas A&M Corpus Chris,TAM C. Christi
Kennesaw St,Kennesaw
USC Upstate,SC Upstate
Longwood,Longwood
Sacramento St,CS Sacramento
Fairleigh Dickinson,F Dickinson
Alabama A&M,Alabama A&M
Marist,Marist
Dartmouth,Dartmouth
Florida A&M,Florida A&M
Louisiana Monroe,ULM
South Carolina St,S Carolina St
Georgia Southern,Ga Southern
Grambling St,Grambling
Western Illinois,W Illinois
Radford,Radford
Toledo,Toledo
Texas Pan American,UTRGV
Prairie View A&M,Prairie View
Maryland Eastern Shore,MD E Shore
Houston Baptist,Houston Bap
Central Arkansas,Cent Arkansas
Arkansas Pine Bluff,Ark Pine Bluff
UMBC,UMBC
Howard,Howard
Alcorn St,Alcorn St
SIU Edwardsville,Edwardsville
Chicago St,Chicago St
Centenary,Centenary
Southern,Southern Univ
