OriTeamName,AdjTeamName
Charlotte,Charlotte
UCF,UCF
Murray St,Murray St
Northwestern,Northwestern
George Mason,George Mason
Vermont,Vermont
San Francisco,San Francisco
Nebraska,Nebraska
Wake Forest,Wake Forest
Northwestern St,Northwestern
Niagara,Niagara
Western Michigan,W Michigan
South Florida,South Florida
Robert Morris,Robert Morris
Oral Roberts,Oral Roberts
Boston University,Boston Univ
Montana,Montana
Tulane,Tulane
UC Irvine,UC Irvine
Arkansas St,Arkansas St
UT Arlington,UT Arlington
Albany,Albany NY
Fairfield,Fairfield
Cal Poly,Cal Poly SLO
College of Charleston,Col Charleston
Manhattan,Manhattan
Western Illinois,W Illinois
Long Beach St,Long Beach St
Army,Army
Texas Southern,TX Southern
Bradley,Bradley
Rider,Rider
Penn St,Penn St
Southern,Southern Univ
UAB,UAB
North Carolina Central,NC Central
Tennessee St,Tennessee St
Delaware,Delaware
Loyola Chicago,Loyola-Chicago
Drexel,Drexel
Virginia Tech,Virginia Tech
San Diego,San Diego
Lafayette,Lafayette
Nevada,Nevada
Western Kentucky,WKU
DePaul,DePaul
Towson,Towson
Bryant,Bryant
Southern Illinois,S Illinois
Charleston Southern,Charleston So
Northeastern,Northeastern
Houston,Houston
Tulsa,Tulsa
James Madison,James Madison
Illinois Chicago,IL Chicago
Wagner,Wagner
SMU,SMU
Toledo,Toledo
FIU,Florida Intl
Georgia St,Georgia St
Buffalo,Buffalo
Gardner Webb,Gardner Webb
Youngstown St,Youngstown St
LIU Brooklyn,Long Island
Rhode Island,Rhode Island
South Alabama,South Alabama
USC Upstate,SC Upstate
Columbia,Columbia
Auburn,Auburn
Yale,Yale
Idaho,Idaho
Oakland,Oakland
Cal St Fullerton,CS Fullerton
Morgan St,Morgan St
UNC Asheville,UNC Asheville
Jacksonville St,Jacksonville St
Loyola Marymount,Loy Marymount
Elon,Elon
Quinnipiac,Quinnipiac
Savannah St,Savannah St
South Carolina,South Carolina
Hawaii,Hawaii
Mount St Mary's,Mt St Mary's
Missouri St,Missouri St
Bowling Green,Bowling Green
William & Mary,William & Mary
UC Davis,UC Davis
Norfolk St,Norfolk St
Marshall,Marshall
High Point,High Point
Cal St Northridge,CS Northridge
UC Santa Barbara,Santa Barbara
Pepperdine,Pepperdine
Arkansas Little Rock,Ark Little Rock
St Francis NY,St Francis NY
Southeast Missouri St,SE Missouri St
Morehead St,Morehead St
Hartford,Hartford
North Carolina A&T,NC A&T
Sam Houston St,Sam Houston St
Seattle,Seattle
Louisiana Lafayette,ULL
Coastal Carolina,Coastal Car
Eastern Michigan,E Michigan
Brown,Brown
Stetson,Stetson
Florida Atlantic,FL Atlantic
Holy Cross,Holy Cross
Cal St Bakersfield,CS Bakersfield
Marist,Marist
Texas Tech,Texas Tech
Duquesne,Duquesne
Miami OH,Miami OH
Northern Colorado,N Colorado
IPFW,IPFW
Northern Kentucky,N Kentucky
Western Carolina,W Carolina
Wofford,Wofford
Central Michigan,C Michigan
North Florida,North Florida
Penn,Penn
South Dakota,South Dakota
North Dakota,North Dakota
Fordham,Fordham
UTSA,UT San Antonio
Ball St,Ball St
Mississippi St,Mississippi St
Texas St,Texas St
Central Connecticut,Central Conn
Portland,Portland
North Texas,North Texas
Cleveland St,Cleveland St
Cornell,Cornell
Maine,Maine
NJIT,NJIT
Appalachian St,Appalachian St
New Hampshire,New Hampshire
TCU,TCU
Liberty,Liberty
Colgate,Colgate
Bethune Cookman,Bethune-Cookman
Sacred Heart,Sacred Heart
Tennessee Tech,Tennessee Tech
Eastern Illinois,E Illinois
Hampton,Hampton
Troy,Troy
Dartmouth,Dartmouth
Old Dominion,Old Dominion
American,American Univ
Winthrop,Winthrop
Sacramento St,CS Sacramento
Saint Peter's,St Peter's
Georgia Southern,Ga Southern
Arkansas Pine Bluff,Ark Pine Bluff
VMI,VMI
Delaware St,Delaware St
Southeastern Louisiana,SE Louisiana
UNC Greensboro,UNC Greensboro
UNC Wilmington,UNC Wilmington
Jacksonville,Jacksonville
Nicholls St,Nicholls St
Lipscomb,Lipscomb
McNeese St,McNeese St
Samford,Samford
Northern Arizona,Northern Arizona
Central Arkansas,Cent Arkansas
Utah Valley,Utah Valley
Chicago St,Chicago St
Radford,Radford
Siena,Siena
Eastern Washington,E Washington
Campbell,Campbell
Milwaukee,WI Milwaukee
Montana St,Montana St
San Jose St,San Jose St
Hofstra,Hofstra
Portland St,Portland St
Southern Utah,Southern Utah
SIU Edwardsville,Edwardsville
UMBC,UMBC
Monmouth,Monmouth NJ
Chattanooga,Chattanooga
Austin Peay,Austin Peay
Texas Pan American,UTRGV
Coppin St,Coppin St
UC Riverside,UC Riverside
Texas A&M Corpus Chris,Texas A&M
Jackson St,Jackson St
Navy,Navy
UMKC,Missouri KC
East Tennessee St,ETSU
Idaho St,Idaho St
Nebraska Omaha,NE Omaha
Northern Illinois,N Illinois
Alcorn St,Alcorn St
Prairie View A&M,Prairie View
Rice,Rice
Houston Baptist,Houston Bap
Louisiana Monroe,ULM
Florida A&M,Florida A&M
Howard,Howard
St Francis PA,St Francis PA
Alabama St,Alabama St
Tennessee Martin,TN Martin
IUPUI,IUPUI
Fairleigh Dickinson,F Dickinson
Kennesaw St,Kennesaw
Alabama A&M,Alabama A&M
The Citadel,Citadel
Longwood,Longwood
South Carolina St,S Carolina St
Mississippi Valley St,Mississippi St
Presbyterian,Presbyterian
Furman,Furman
Binghamton,Binghamton
Maryland Eastern Shore,MD E Shore
New Orleans,New Orleans
Lamar,Lamar
Grambling St,Grambling
