OriTeamName,AdjTeamName
Lehigh,Lehigh
Green Bay,WI Green Bay
Binghamton,Binghamton
Austin Peay,Austin Peay
Vermont,Vermont
Idaho St,Idaho St
Southern,Southern Univ
San Jose St,San Jose St
Ball St,Ball St
Delaware St,Delaware St
Tennessee Tech,Tennessee Tech
Boston University,Boston Univ
Pepperdine,Pepperdine
Lamar,Lamar
North Texas,North Texas
Jacksonville St,Jacksonville St
Tennessee St,Tennessee St
Tulane,Tulane
Tulsa,Tulsa
Canisius,Canisius
Portland,Portland
High Point,High Point
Montana St,Montana St
Arkansas Little Rock,Ark Little Rock
Arkansas St,Arkansas St
Rice,Rice
McNeese St,McNeese St
Georgia St,Georgia St
Delaware,Delaware
East Tennessee St,ETSU
Tennessee Martin,TN Martin
Furman,Furman
Marshall,Marshall
Elon,Elon
Fairfield,Fairfield
UTSA,UT San Antonio
Rider,Rider
Utah Valley St,Utah Valley
New Orleans,New Orleans
Radford,Radford
Western Michigan,W Michigan
Cornell,Cornell
Chicago St,Chicago St
William & Mary,William & Mary
Chattanooga,Chattanooga
St Bonaventure,St Bonaventure
Appalachian St,Appalachian St
TCU,TCU
Robert Morris,Robert Morris
Hartford,Hartford
Mount St Mary's,Mt St Mary's
Western Carolina,W Carolina
Florida Atlantic,FL Atlantic
Cleveland St,Cleveland St
Richmond,Richmond
Cal Poly,Cal Poly SLO
Weber St,Weber St
Towson,Towson
Wofford,Wofford
Southern Utah,Southern Utah
Quinnipiac,Quinnipiac
Youngstown St,Youngstown St
Wagner,Wagner
Harvard,Harvard
American,American Univ
Sacred Heart,Sacred Heart
Yale,Yale
Charleston Southern,Charleston So
Bowling Green,Bowling Green
Eastern Kentucky,E Kentucky
Cal St Northridge,CS Northridge
Gardner Webb,Gardner Webb
Princeton,Princeton
Eastern Michigan,E Michigan
UMBC,UMBC
St Francis NY,St Francis NY
Alabama A&M,Alabama A&M
Jackson St,Jackson St
Oakland,Oakland
Hampton,Hampton
East Carolina,East Carolina
FIU,Florida Intl
UNC Greensboro,UNC Greensboro
IPFW,IPFW
South Carolina St,S Carolina St
New Hampshire,New Hampshire
Southern Miss,Southern Miss
UMKC,Missouri KC
Coppin St,Coppin St
LIU Brooklyn,Long Island
Stetson,Stetson
Louisiana Monroe,ULM
Colgate,Colgate
Arkansas Pine Bluff,Ark Pine Bluff
Campbell,Campbell
UC Davis,UC Davis
Idaho,Idaho
Norfolk St,Norfolk St
Alabama St,Alabama St
Florida A&M,Florida A&M
Lafayette,Lafayette
Maine,Maine
Bethune Cookman,Bethune-Cookman
UNC Asheville,UNC Asheville
Brown,Brown
Columbia,Columbia
Western Illinois,W Illinois
South Dakota St,S Dakota St
Central Michigan,C Michigan
Duquesne,Duquesne
Navy,Navy
Northern Colorado,N Colorado
UC Riverside,UC Riverside
Grambling St,Grambling
Dartmouth,Dartmouth
Nicholls St,Nicholls St
Kennesaw St,Kennesaw
Southeast Missouri St,SE Missouri St
Alcorn St,Alcorn St
James Madison,James Madison
Stony Brook,Stony Brook
Longwood,Longwood
Eastern Illinois,E Illinois
Howard,Howard
VMI,VMI
Centenary,Centenary
Mercer,Mercer
Texas Southern,TX Southern
North Carolina A&T,NC A&T
Texas St,Texas St
Mississippi Valley St,Mississippi St
Liberty,Liberty
Maryland Eastern Shore,MD E Shore
North Florida,North Florida
St Francis PA,St Francis PA
Texas Pan American,UTRGV
Morehead St,Morehead St
Jacksonville,Jacksonville
The Citadel,Citadel
Army,Army
Prairie View A&M,Prairie View
Morgan St,Morgan St
Savannah St,Savannah St
