OriTeamName,AdjTeamName
Florida St,Florida St
Missouri,Missouri
Hofstra,Hofstra
Drexel,Drexel
St John's,St John's
Niagara,Niagara
Winthrop,Winthrop
Mississippi,Mississippi
Seton Hall,Seton Hall
Wyoming,Wyoming
Dayton,Dayton
Colorado,Colorado
USC,USC
Murray St,Murray St
Cal St Fullerton,CS Fullerton
Davidson,Davidson
Middle Tennessee,MTSU
San Diego,San Diego
Northeastern,Northeastern
Illinois St,Illinois St
Oregon St,Oregon St
Purdue,Purdue
VCU,VA Commonwealth
San Francisco,San Francisco
Bradley,Bradley
Santa Clara,Santa Clara
Northwestern,Northwestern
SMU,SMU
Detroit,Detroit
Hawaii,Hawaii
Michigan,Michigan
South Florida,South Florida
Southeastern Louisiana,SE Louisiana
Bowling Green,Bowling Green
Pepperdine,Pepperdine
Illinois Chicago,IL Chicago
Northern Illinois,N Illinois
Drake,Drake
IUPUI,IUPUI
George Mason,George Mason
Princeton,Princeton
Rutgers,Rutgers
Eastern Kentucky,E Kentucky
Butler,Butler
California,California
Arkansas Little Rock,Ark Little Rock
Portland,Portland
Colorado St,Colorado St
Auburn,Auburn
Louisiana Tech,Louisiana Tech
Manhattan,Manhattan
Loyola Marymount,Loy Marymount
Evansville,Evansville
San Diego St,San Diego St
UNC Wilmington,UNC Wilmington
BYU,BYU
Richmond,Richmond
Arkansas St,Arkansas St
Indiana St,Indiana St
Tennessee Tech,Tennessee Tech
Albany,Albany NY
Southeast Missouri St,SE Missouri St
Rider,Rider
Chattanooga,Chattanooga
College of Charleston,Col Charleston
Saint Louis,St Louis
Fresno St,Fresno St
Sam Houston St,Sam Houston St
Loyola Chicago,Loyola-Chicago
Texas A&M Corpus Chris,TAM C. Christi
Northwestern St,Northwestern LA
Wright St,Wright St
Georgia Southern,Ga Southern
Lamar,Lamar
Fairfield,Fairfield
Green Bay,WI Green Bay
Tulsa,Tulsa
Oakland,Oakland
Saint Peter's,St Peter's
Massachusetts,Massachusetts
UMKC,Missouri KC
American,American Univ
Appalachian St,Appalachian St
Austin Peay,Austin Peay
Iona,Iona
UC Irvine,UC Irvine
New Orleans,New Orleans
Fordham,Fordham
Samford,Samford
UCF,UCF
Fairleigh Dickinson,F Dickinson
Eastern Michigan,E Michigan
Montana,Montana
Binghamton,Binghamton
Tennessee St,Tennessee St
East Carolina,East Carolina
Valparaiso,Valparaiso
South Carolina St,S Carolina St
Furman,Furman
UTSA,UT San Antonio
FIU,Florida Intl
Marshall,Marshall
Yale,Yale
Cleveland St,Cleveland St
Georgia,Georgia
Western Illinois,W Illinois
North Texas,North Texas
UNC Greensboro,UNC Greensboro
Delaware St,Delaware St
Gardner Webb,Gardner Webb
Lehigh,Lehigh
Portland St,Portland St
UC Santa Barbara,Santa Barbara
Monmouth,Monmouth NJ
La Salle,La Salle
Boise St,Boise St
Penn St,Penn St
Harvard,Harvard
Maine,Maine
Birmingham Southern,Birmingham So
Belmont,Belmont
Wofford,Wofford
South Alabama,South Alabama
Delaware,Delaware
Utah Valley St,Utah Valley
High Point,High Point
Cornell,Cornell
McNeese St,McNeese St
Eastern Illinois,E Illinois
Southern Miss,Southern Miss
Marist,Marist
Northern Arizona,Northern Arizona
Hampton,Hampton
Georgia St,Georgia St
Long Beach St,Long Beach St
Baylor,Baylor
Montana St,Montana St
Central Michigan,C Michigan
Brown,Brown
Central Connecticut,Central Conn
Chicago St,Chicago St
Florida Atlantic,FL Atlantic
St Francis NY,St Francis NY
Mercer,Mercer
Weber St,Weber St
Colgate,Colgate
Idaho,Idaho
Tulane,Tulane
Coppin St,Coppin St
Rhode Island,Rhode Island
Columbia,Columbia
UT Arlington,UT Arlington
Stony Brook,Stony Brook
Wagner,Wagner
Duquesne,Duquesne
Texas St,Texas St
East Tennessee St,ETSU
St Francis PA,St Francis PA
Mississippi Valley St,MS Valley St
Robert Morris,Robert Morris
Eastern Washington,E Washington
Canisius,Canisius
Troy,Troy
UNC Asheville,UNC Asheville
UC Davis,UC Davis
Stephen F Austin,SF Austin
Southern Utah,Southern Utah
UC Riverside,UC Riverside
New Hampshire,New Hampshire
Norfolk St,Norfolk St
New Mexico St,New Mexico St
Liberty,Liberty
Coastal Carolina,Coastal Car
LIU Brooklyn,Long Island
Lafayette,Lafayette
Lipscomb,Lipscomb
Texas Pan American,UTRGV
Sacramento St,CS Sacramento
Alabama A&M,Alabama A&M
San Jose St,San Jose St
Dartmouth,Dartmouth
Elon,Elon
Stetson,Stetson
Navy,Navy
Siena,Siena
Jacksonville St,Jacksonville St
UMBC,UMBC
Charleston Southern,Charleston So
Jacksonville,Jacksonville
William & Mary,William & Mary
Radford,Radford
IPFW,IPFW
Louisiana Monroe,ULM
Morehead St,Morehead St
Western Carolina,W Carolina
Quinnipiac,Quinnipiac
Morgan St,Morgan St
Towson,Towson
Jackson St,Jackson St
Grambling St,Grambling
Alabama St,Alabama St
The Citadel,Citadel
Florida A&M,Florida A&M
Tennessee Martin,TN Martin
Southern,Southern Univ
Loyola MD,Loyola MD
Idaho St,Idaho St
Northern Colorado,N Colorado
Mount St Mary's,Mt St Mary's
Hartford,Hartford
Cal Poly,Cal Poly SLO
James Madison,James Madison
Bethune Cookman,Bethune-Cookman
Sacred Heart,Sacred Heart
Texas Southern,TX Southern
VMI,VMI
Nicholls St,Nicholls St
Youngstown St,Youngstown St
Centenary,Centenary
North Carolina A&T,NC A&T
St Bonaventure,St Bonaventure
Arkansas Pine Bluff,Ark Pine Bluff
Campbell,Campbell
Howard,Howard
Army,Army
Prairie View A&M,Prairie View
Alcorn St,Alcorn St
Longwood,Longwood
Savannah St,Savannah St
Maryland Eastern Shore,MD E Shore
