OriTeamName,AdjTeamName
Bethune Cookman,Bethune-Cookman
Campbell,Campbell
Loyola MD,Loyola MD
Savannah St,Savannah St
The Citadel,Citadel
Nicholls St,Nicholls St
Dartmouth,Dartmouth
Prairie View A&M,Prairie View
Maryland Eastern Shore,MD E Shore
VMI,VMI
North Carolina A&T,NC A&T
Navy,Navy
Army,Army
Arkansas Pine Bluff,Ark Pine Bluff
