Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS AdjEM
83,Kent St.,MAC,20-13,8.47,103,94.5,68.1,0.002,3.88,102.2,98.3,4.35
84,Temple,A10,16-14,8.33,104.5,96.2,63.3,-0.044,4.81,101.9,97.1,13.83
85,Ohio 13,MAC,21-11,8.08,105.8,97.7,68.2,0.043,2.77,101.5,98.8,-4.26
86,Western Kentucky,SB,22-9,7.87,109.2,101.3,68.9,-0.022,0.12,99.8,99.6,-0.7
87,Denver,SB,20-11,7.83,104.1,96.2,69.6,-0.054,-0.46,99.2,99.7,-0.31
88,Toledo,MAC,16-13,7.68,103.3,95.7,68.7,-0.027,3.83,102.1,98.2,4.78
89,Virginia,ACC,14-15,7.19,103.6,96.4,70.8,0.059,11.55,106.4,94.8,3.28
90,UNLV,MWC,17-14,6.88,102.9,96,72.1,0.029,6,103.3,97.3,4.13
91,Rice,WAC,19-12,6.83,103.6,96.8,69.7,0.007,2.82,101,98.2,5.89
92,Boston University,AE,20-9,6.69,97.1,90.4,64.5,0.022,-4,96.2,100.2,-2.56
93,Oregon,P10,14-13,6.6,103.5,96.9,68.9,0.026,7.6,103.5,95.9,2.13
94,Bucknell 14,Pat,23-10,6.56,98.6,92,65.5,0.065,-2.43,98,100.4,1.19
95,Virginia Tech,ACC,16-14,6.56,101.4,94.8,69,0.036,7.52,102.7,95.2,-10.62
96,TCU,CUSA,21-14,6.47,99.5,93,70.6,0.047,4.37,101.7,97.3,-1.75
97,Cal St. Northridge,BW,18-13,6.46,100.1,93.7,70.8,-0.068,-2.01,99.1,101.1,-2.09
98,Houston,CUSA,18-14,6.43,102.3,95.9,69.4,0.037,4.17,101.8,97.6,2.49
99,Ball St.,MAC,15-13,6.4,105.5,99.1,67.7,-0.016,4.41,103,98.6,4.98
100,Marquette,CUSA,19-12,6.38,105.5,99.1,63.4,0.052,5.3,102,96.7,1.86
101,Florida St.,ACC,12-19,6.24,101,94.7,68.8,-0.069,10.1,104.8,94.7,0.31
102,Missouri,B12,16-17,6.18,100,93.8,66.8,0.049,9.72,105.6,95.9,6.11
103,Hofstra,CAA,21-9,6.08,103.3,97.2,69.2,0.021,-3.12,96.9,100,-5.76
104,Drexel,CAA,17-12,5.6,102.3,96.7,68,-0.025,-1.33,98.6,99.9,1.69
105,St. John's,BE,9-18,5.38,97.1,91.7,69.2,-0.081,8.98,105.1,96.1,0.88
106,Niagara 14,MAAC,20-10,5.34,111.8,106.4,72.7,-0.027,-3.18,98.1,101.3,0.86
107,Winthrop 14,BSth,27-6,4.9,97.6,92.7,65.7,0.064,-7.43,96.3,103.7,0.07
108,Mississippi,SEC,14-17,4.88,99,94.1,65.6,-0.03,6.59,103.8,97.2,-2.18
109,Seton Hall,BE,12-16,4.83,96.4,91.6,67.1,-0.034,7.24,103.7,96.4,-2.57
110,Wyoming,MWC,15-13,4.69,100.2,95.5,71.4,0.044,5.11,102.1,96.9,2.5
111,Dayton,A10,18-11,4.56,98.9,94.3,65.4,-0.001,0.25,99.6,99.4,2.15
112,Colorado,B12,14-16,4.53,104.2,99.6,71.5,0.059,8.34,104,95.7,0.3
113,USC,P10,12-17,4.53,103.9,99.4,73.3,-0.018,7.27,103.2,95.9,2.33
114,Murray St.,OVC,17-11,4.5,104.7,100.2,66.2,-0.059,-2.7,99.5,102.2,3.99
115,Cal St. Fullerton,BW,21-11,4.49,102.8,98.3,72.2,0.063,-1.51,99.3,100.8,-2.18
116,Davidson,SC,23-9,4.45,103.9,99.4,68.3,0.111,-1.21,97.9,99.1,8.68
117,Middle Tennessee,SB,19-12,4.35,100.4,96.1,68.5,-0.018,-1.14,99.3,100.4,-2.04
118,San Diego,WCC,16-13,4.2,104,99.8,73.3,0,2.52,101.9,99.3,-2.15
119,Northeastern,AE,21-10,4.12,102,97.9,73.7,0.084,-2.71,96.7,99.4,0.34
120,Illinois St.,MVC,17-13,4.06,102.4,98.3,66.4,0.057,4.13,102.1,98,-3.47
121,Oregon St.,P10,17-15,4.01,103,99,71.7,0.061,4.51,101.3,96.8,-7.95
122,Purdue,B10,7-21,3.96,101.5,97.6,66.1,-0.102,12.45,106.2,93.8,7.53
123,VCU,CAA,19-13,3.95,101.6,97.7,68.2,-0.033,-1.21,98.5,99.7,1.91
124,San Francisco,WCC,17-14,3.79,98,94.2,69.1,0.047,3.66,102,98.3,2.26
125,Bradley,MVC,13-15,3.67,99.3,95.6,72.1,0.009,5.58,104.1,98.5,2.36
126,Santa Clara,WCC,15-16,3.67,103,99.3,71.7,-0.05,2.53,101.5,99,-1.07
127,Northwestern,B10,15-16,3.63,97.3,93.7,63.3,0.06,7.71,104.5,96.8,0.14
128,SMU,WAC,14-14,3.56,101.2,97.6,66.5,-0.058,1.08,100.1,99,0.26
129,Detroit,Horz,14-16,3.54,98.8,95.2,63.3,-0.07,1.53,101.6,100.1,5.03
130,Hawaii,WAC,16-13,3.53,101.4,97.9,67.7,-0.036,1.31,99.8,98.5,2.33
131,Michigan,B10,13-18,3.51,99.9,96.4,64.7,-0.026,7.81,103.4,95.6,2.89
132,South Florida,CUSA,14-16,3.3,99.9,96.6,68.9,-0.07,2.26,100,97.7,-8.11
133,Southeastern Louisiana 15,Slnd,24-9,3.19,93.7,90.5,63.1,0.006,-5.64,96.5,102.2,-6.07
134,Bowling Green,MAC,18-11,3.12,103.7,100.6,67.7,0.105,2.96,102.2,99.2,-1.74
135,Pepperdine,WCC,17-14,3.08,104.4,101.3,72.1,0.03,1.88,100.5,98.7,-1.32
136,Illinois Chicago,Horz,15-14,2.92,103.2,100.3,69.2,-0.008,1.5,100.4,98.9,8.1
137,Northern Illinois,MAC,11-17,2.8,104.6,101.8,65.8,-0.07,2.91,102,99.1,0.46
138,Drake,MVC,13-16,2.44,101.8,99.4,69.6,0.022,5.32,102.7,97.4,-0.24
139,IUPUI,MCon,16-13,2.27,105.3,103.1,65.7,-0.033,-1.68,101.1,102.7,4.4
140,George Mason,CAA,16-13,2.14,105,102.8,68.6,-0.038,-3.14,97.5,100.7,-2.84
141,Princeton,Ivy,15-13,2.03,101.5,99.4,55.8,-0.017,-1.74,97.8,99.5,3.19
142,Rutgers,BE,10-19,2.01,102.8,100.7,66.1,-0.007,10.39,105,94.6,3.08
143,Eastern Kentucky 15,OVC,22-9,1.95,99.8,97.9,68.1,0.1,-4.66,98.7,103.3,-3.75
144,Butler,Horz,13-15,1.78,105.5,103.7,60.8,-0.119,-0.72,99.2,99.9,-0.24
145,California,P10,13-16,1.74,97.9,96.2,69.7,0.029,6.62,103.2,96.6,-1.65
146,Arkansas Little Rock,SB,18-10,1.69,99.3,97.6,66,0.127,1.48,100.2,98.7,4.84
147,Portland,WCC,15-15,1.55,100.7,99.2,68.4,-0.022,1.01,99.5,98.5,-3.87
148,Colorado St.,MWC,11-17,1.51,100.2,98.7,68.8,-0.106,3.78,102.7,98.9,-2.29
149,Auburn,SEC,14-17,1.48,102.7,101.2,70.3,0.063,7.05,103.5,96.4,-0.77
150,Louisiana Tech,WAC,14-15,1.04,98.5,97.4,70.9,-0.011,0.41,99.6,99.2,-1.21
151,Manhattan,MAAC,15-14,0.57,100.1,99.5,68.9,-0.057,-2.83,99.2,102,8.08
152,Loyola Marymount,WCC,11-17,0.54,95.1,94.5,70.9,-0.037,2.78,102.1,99.4,-0.47
153,Evansville,MVC,11-17,0.54,103.3,102.8,69.7,-0.031,3.72,102.1,98.3,-4.87
154,San Diego St.,MWC,11-18,0.53,102.1,101.5,68.5,-0.017,6.58,103.1,96.5,3.93
155,UNC Wilmington,CAA,19-10,0.49,97.2,96.7,65.1,0.076,-3.5,98.1,101.6,-5.56
156,BYU,MWC,9-21,0.43,97.8,97.4,67.6,-0.096,7.63,104.5,96.8,6.95
157,Richmond,A10,14-15,0.4,100.3,99.9,68.4,0.065,3.24,101.5,98.3,7.67
158,Arkansas St.,SB,16-13,0.29,102.1,101.8,71.7,-0.025,-1.27,98.8,100.1,-4.02
159,Indiana St.,MVC,11-20,0.27,92.9,92.7,66.8,-0.017,5.39,103.6,98.2,0.31
160,Tennessee Tech,OVC,18-11,0.26,97,96.7,70.7,0.01,-4.56,98.6,103.1,-0.69
161,Albany,AE,13-15,0.26,100.4,100.1,67.4,-0.121,-5.59,94.7,100.3,-8.21
162,Southeast Missouri St.,OVC,15-14,0.18,100.2,100,67.2,-0.09,-2.6,99.2,101.8,1.82
163,Rider,MAAC,19-11,0.12,103.9,103.8,68.9,0.049,-4.25,97.7,102,-1.98
164,Chattanooga 15,SC,20-11,0.09,95.9,95.8,70.1,0.06,-3.81,97.9,101.7,2.43
165,College of Charleston,SC,18-10,0.03,96.8,96.8,70.9,0.015,-4.98,97,102,-3.82
166,Saint Louis,CUSA,9-21,0,90.6,90.6,63.1,-0.059,5.86,103.6,97.7,3.51
167,Fresno St.,WAC,16-14,-0.07,98.1,98.1,71.9,-0.002,0.07,99.8,99.7,-2.53
168,Sam Houston St.,Slnd,18-12,-0.12,94.2,94.3,73.6,-0.002,-4.19,97.3,101.5,3.39
169,Loyola Chicago,Horz,13-17,-0.13,97,97.2,70.1,-0.015,1.38,101.5,100.1,5.13
170,Texas A&M Corpus Chris,ind,20-8,-0.25,99.8,100.1,69.8,0.048,-8.54,94.5,103,-0.12
171,Northwestern St.,Slnd,21-12,-0.26,100.2,100.5,71.2,0.075,-2.92,97.8,100.7,7.01
172,Wright St.,Horz,15-15,-0.4,101.5,101.9,63.3,0.023,0.94,100.5,99.6,3.02
173,Georgia Southern,SC,18-13,-0.52,97.3,97.9,78,-0.052,-5.05,96.2,101.2,-0.81
174,Lamar,Slnd,18-11,-0.77,98.5,99.3,76.9,-0.02,-4.19,97,101.2,0.26
175,Fairfield,MAAC,15-15,-0.82,97.6,98.4,67.1,-0.037,-3.16,98.3,101.5,0.75
176,Green Bay,Horz,17-11,-0.84,100.6,101.4,67.9,0.133,0.15,100.3,100.2,1.19
177,Tulsa,WAC,9-20,-1.12,95.9,97,72.5,-0.172,1.05,100.4,99.3,0.68
178,Oakland 16,MCon,13-19,-1.18,104.6,105.8,67.9,-0.023,0.82,101.3,100.4,10.38
179,Saint Peter's,MAAC,15-13,-1.32,100.7,102,75.6,-0.013,-4.32,97.7,102.1,-2.38
180,Massachusetts,A10,16-12,-1.52,95.6,97.1,65.8,0.135,1.86,100.7,98.8,6.53
181,UMKC,MCon,16-12,-1.64,102.2,103.8,69.4,0.027,-3.22,100.1,103.3,0.06
182,American,Pat,16-12,-1.84,97.9,99.8,67.4,0.041,-4.18,96.4,100.6,-0.32
183,Appalachian St.,SC,18-12,-1.9,98,99.9,70.6,0.008,-5.99,95.2,101.2,-2.75
184,Austin Peay,OVC,13-19,-1.95,96.3,98.2,66.7,-0.032,-0.87,100.6,101.5,4.3
185,Iona,MAAC,15-16,-1.97,96.9,98.8,71.2,-0.02,-3.38,99.3,102.7,0.51
186,UC Irvine,BW,16-13,-1.99,99.8,101.8,67.1,0.052,-2.76,98.2,100.9,-5.45
187,New Orleans,SB,13-17,-2.04,99.2,101.2,67.1,0.003,0.4,100.5,100.1,1.13
188,Fordham,A10,13-16,-2.14,93.9,96,68,0,-0.4,98.9,99.3,-0.11
189,Samford,OVC,15-13,-2.4,106.3,108.7,58.7,-0.02,-4.38,98.3,102.6,-2.53
190,UCF 15,ASun,24-9,-2.5,101.5,104,63.3,0.067,-8.29,95.9,104.2,-2.33
191,Fairleigh Dickinson 16,NEC,20-13,-2.51,98.1,100.6,71.7,-0.003,-7.71,96.3,104,-1.27
192,Eastern Michigan,MAC,12-18,-2.59,100,102.6,72.8,-0.028,1.57,100.6,99,-4.76
