Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,Season,Team_Id,Team_Name
8.0,Louisville,BE,27-9,24.9,109.4,84.5,68.4,-0.057,9.85,105.3,95.4,3.51,2008.0,1257,Louisville
13.0,Marquette,BE,25-10,21.74,110.7,88.9,70.3,-0.027,9.25,104.9,95.6,-1.66,2008.0,1266,Marquette
15.0,Xavier,A10,30-7,21.61,113.4,91.8,66.8,0.054,7.51,105.1,97.6,5.65,2008.0,1462,Xavier
18.0,West Virginia,BE,26-11,20.72,110.1,89.3,67.3,-0.017,9.33,105.2,95.9,-0.78,2008.0,1452,West Virginia
19.0,Michigan St,B10,27-9,20.54,110.9,90.4,66.8,0.033,9.32,105.2,95.9,3.64,2008.0,1277,Michigan St
20.0,Butler,Horz,30-4,19.56,112.4,92.8,62.7,0.003,3.17,101.1,97.9,5.84,2008.0,1139,Butler
23.0,Notre Dame,BE,25-8,18.67,110.9,92.3,72.6,0.043,7.94,104.5,96.5,-2.82,2008.0,1323,Notre Dame
24.0,Arizona,P10,19-15,18.64,112.5,93.9,66.7,-0.077,12.94,107.0,94.1,10.22,2008.0,1112,Arizona
25.0,Kansas St,B12,21-12,18.54,110.0,91.4,72.9,-0.048,9.51,104.9,95.4,-0.06,2008.0,1243,Kansas St
26.0,Gonzaga,WCC,25-8,18.54,109.9,91.4,69.4,-0.03,3.17,101.1,97.9,9.14,2008.0,1211,Gonzaga
28.0,USC,P10,21-12,18.19,106.5,88.3,68.0,-0.004,11.67,106.7,95.0,2.24,2008.0,1425,USC
30.0,Purdue,B10,25-9,17.87,106.6,88.7,69.5,-0.024,7.08,103.0,95.9,-0.18,2008.0,1345,Purdue
34.0,Virginia Tech,ACC,21-14,15.91,103.3,87.4,69.1,-0.048,7.87,104.9,97.0,0.33,2008.0,1439,Virginia Tech
36.0,Oregon,P10,18-14,15.3,114.9,99.6,68.7,-0.034,10.63,105.7,95.1,1.53,2008.0,1332,Oregon
37.0,Florida,SEC,24-12,15.09,111.7,96.6,68.6,-0.042,4.81,102.6,97.8,-4.68,2008.0,1196,Florida
38.0,Miami FL,ACC,23-11,15.02,108.2,93.2,69.4,-0.003,8.18,103.5,95.4,-2.81,2008.0,1274,Miami FL
40.0,Arkansas,SEC,23-12,14.83,107.8,93.0,70.0,0.009,8.0,105.4,97.4,2.32,2008.0,1116,Arkansas
41.0,Baylor,B12,21-11,14.51,111.4,96.9,73.0,-0.028,8.23,103.9,95.7,-2.82,2008.0,1124,Baylor
42.0,St Mary's CA,WCC,25-7,14.4,105.6,91.2,69.6,0.03,0.68,100.2,99.5,4.01,2008.0,1388,St Mary's CA
46.0,Villanova,BE,22-13,13.84,105.6,91.8,71.0,0.037,9.23,105.5,96.2,-0.29,2008.0,1437,Villanova
55.0,Kent,MAC,28-7,12.73,103.7,90.9,67.9,0.075,1.46,100.3,98.8,1.31,2008.0,1245,Kent
56.0,Vanderbilt,SEC,26-8,12.32,108.4,96.1,71.9,0.11,6.45,104.7,98.3,1.36,2008.0,1435,Vanderbilt
59.0,Florida St,ACC,19-15,11.97,104.6,92.6,68.6,-0.034,9.24,105.5,96.2,1.38,2008.0,1199,Florida St
62.0,Dayton,A10,23-11,11.72,108.0,96.3,64.0,0.056,5.87,103.4,97.6,1.93,2008.0,1173,Dayton
63.0,Maryland,ACC,19-15,11.72,103.6,91.9,73.2,-0.042,8.31,103.6,95.3,1.29,2008.0,1268,Maryland
68.0,VA Commonwealth,CAA,24-8,11.22,100.5,89.3,67.0,-0.04,-1.35,99.3,100.7,2.45,2008.0,1433,VA Commonwealth
71.0,Minnesota,B10,20-14,10.99,104.3,93.4,67.9,-0.024,6.0,102.5,96.5,-3.67,2008.0,1278,Minnesota
72.0,Rhode Island,A10,21-12,10.96,111.0,100.0,73.3,-0.059,3.56,102.4,98.8,-0.66,2008.0,1348,Rhode Island
73.0,Oklahoma St,B12,17-16,10.65,105.2,94.5,67.7,-0.031,9.94,105.2,95.2,1.49,2008.0,1329,Oklahoma St
74.0,Creighton,MVC,22-11,10.6,104.6,94.0,68.5,0.049,5.71,103.0,97.3,-0.27,2008.0,1166,Creighton
75.0,Wake Forest,ACC,17-13,10.58,103.7,93.2,71.9,-0.015,7.27,103.2,95.9,-2.19,2008.0,1448,Wake Forest
79.0,Kentucky,SEC,18-13,9.74,104.6,94.9,65.6,0.011,7.78,104.5,96.7,0.91,2008.0,1246,Kentucky
85.0,Providence,BE,15-16,9.29,106.4,97.1,69.4,-0.025,9.46,105.7,96.3,2.71,2008.0,1344,Providence
90.0,Virginia,ACC,17-16,7.9,106.6,98.7,72.1,-0.023,7.42,104.1,96.7,-2.85,2008.0,1438,Virginia
99.0,New Mexico St,WAC,21-14,6.8,104.7,98.0,73.4,-0.06,-1.08,100.9,101.9,4.64,2008.0,1308,New Mexico St
102.0,Nevada,WAC,21-12,6.45,104.2,97.8,70.8,0.014,0.05,101.6,101.5,4.97,2008.0,1305,Nevada
103.0,Cincinnati,BE,13-19,6.45,101.2,94.8,66.2,-0.007,9.77,105.6,95.8,3.42,2008.0,1153,Cincinnati
104.0,Winthrop,BSth,22-12,6.3,95.5,89.2,65.0,-0.001,-1.28,101.6,102.9,7.56,2008.0,1457,Winthrop
106.0,South Carolina,SEC,14-18,5.93,104.4,98.5,68.6,-0.086,7.52,105.2,97.7,0.74,2008.0,1376,South Carolina
107.0,Seton Hall,BE,17-15,5.87,106.1,100.2,72.7,0.04,6.4,103.4,97.0,-2.76,2008.0,1371,Seton Hall
123.0,Iowa St,B12,14-18,4.42,97.9,93.5,67.1,-0.017,8.71,104.5,95.8,-1.78,2008.0,1235,Iowa St
138.0,Michigan,B10,10-22,2.66,99.9,97.2,67.1,-0.036,9.92,104.8,94.9,6.52,2008.0,1276,Michigan
155.0,Wichita St,MVC,11-20,1.32,99.5,98.2,64.4,-0.069,4.33,102.7,98.4,-0.63,2008.0,1455,Wichita St
162.0,UNC Wilmington,CAA,20-13,0.31,104.4,104.1,69.4,0.062,-2.43,98.4,100.8,-4.61,2008.0,1423,UNC Wilmington
165.0,MTSU,SB,17-15,-0.18,101.2,101.4,66.0,0.063,0.07,101.6,101.5,5.41,2008.0,1292,MTSU
173.0,Mt St Mary's,NEC,19-15,-1.29,95.7,97.0,69.6,0.016,-5.47,98.1,103.6,0.0,2008.0,1291,Mt St Mary's
174.0,ETSU,ASun,19-13,-1.4,99.9,101.3,75.1,0.067,-3.68,98.3,102.0,2.71,2008.0,1190,ETSU
175.0,Vermont,AE,16-15,-1.66,97.6,99.3,71.6,-0.055,-6.42,97.6,104.0,-4.67,2008.0,1436,Vermont
179.0,New Orleans,SB,19-13,-2.07,100.9,102.9,70.6,0.049,-3.52,98.5,102.1,-5.89,2008.0,1309,New Orleans
191.0,Northwestern,B10,8-22,-3.11,101.1,104.2,64.0,-0.058,8.19,103.9,95.8,-2.46,2008.0,1321,Northwestern
253.0,Northwestern,Slnd,15-18,-8.35,95.0,103.3,75.5,0.089,-2.78,97.5,100.3,2.64,2008.0,1321,Northwestern
219.0,Iona,MAAC,12-20,-5.54,91.8,97.3,69.6,-0.026,-2.93,99.4,102.3,-2.0,2008.0,1233,Iona
239.0,Bucknell,Pat,12-19,-7.24,92.1,99.3,65.7,0.048,-3.05,98.2,101.2,-1.34,2008.0,1137,Bucknell
241.0,Troy,SB,12-19,-7.31,100.7,108.0,72.9,-0.031,-2.13,99.8,101.9,-3.8,2008.0,1407,Troy
273.0,S Dakota St,Sum,8-21,-10.29,95.3,105.6,67.5,-0.067,-3.18,99.8,103.0,-5.3,2008.0,1355,S Dakota St
283.0,SMU,CUSA,10-20,-11.84,91.6,103.5,67.7,0.053,0.85,100.2,99.3,-6.9,2008.0,1374,SMU
307.0,FL Gulf Coast,ASun,10-21,-14.98,90.6,105.6,70.9,0.034,-6.59,96.1,102.7,-1.31,2008.0,1195,FL Gulf Coast
312.0,Princeton,Ivy,6-23,-15.36,89.6,104.9,62.1,-0.041,-4.63,98.3,103.0,-1.06,2008.0,1343,Princeton
322.0,UC Davis,BW,9-22,-17.41,94.3,111.7,65.9,0.011,-3.23,98.6,101.8,-4.27,2008.0,1413,UC Davis
326.0,Jacksonville St,OVC,7-22,-18.1,93.6,111.7,70.7,-0.081,-10.2,96.0,106.2,-9.74,2008.0,1240,Jacksonville St
334.0,TX Southern,SWAC,7-25,-22.57,84.4,107.0,71.2,-0.001,-9.67,94.2,103.8,3.39,2008.0,1411,TX Southern
335.0,NC Central,ind,4-26,-22.64,81.5,104.1,71.6,0.033,1.49,101.2,99.7,3.09,2008.0,1300,NC Central
,,,,,,,,,,,,,,1297,N Kentucky
,,,,,,,,,,,,,,1315,North Dakota
1.0,North Carolina,ACC,34-4,30.53,119.8,89.3,75.5,-0.011,9.92,105.0,95.1,2.82,2009.0,1314,North Carolina
5.0,Louisville,BE,31-6,25.53,108.3,82.7,69.6,0.068,10.64,105.9,95.3,4.21,2009.0,1257,Louisville
8.0,Gonzaga,WCC,28-6,23.84,113.3,89.4,69.9,0.003,4.48,102.1,97.7,10.17,2009.0,1211,Gonzaga
9.0,Duke,ACC,30-7,23.78,114.0,90.2,69.3,0.053,10.85,105.6,94.8,5.44,2009.0,1181,Duke
10.0,Michigan St,B10,31-7,23.75,110.4,86.6,69.1,0.092,12.0,106.0,94.0,7.08,2009.0,1277,Michigan St
11.0,West Virginia,BE,23-12,23.65,110.3,86.7,67.0,-0.068,10.74,105.7,95.0,3.02,2009.0,1452,West Virginia
12.0,UCLA,P10,26-9,23.44,115.8,92.3,67.5,-0.03,9.56,104.9,95.3,0.71,2009.0,1417,UCLA
13.0,Kansas,B12,27-8,23.32,110.5,87.2,70.6,-0.012,10.01,105.5,95.4,5.33,2009.0,1242,Kansas
14.0,Villanova,BE,30-8,23.26,110.1,86.8,71.8,0.021,10.86,106.1,95.3,-2.08,2009.0,1437,Villanova
18.0,Purdue,B10,27-10,21.36,106.5,85.1,68.2,-0.013,9.78,104.4,94.6,-1.63,2009.0,1345,Purdue
19.0,Marquette,BE,25-10,20.52,113.5,93.0,70.1,-0.013,8.65,104.7,96.1,-1.34,2009.0,1266,Marquette
20.0,Xavier,A10,27-8,19.79,107.0,87.2,68.3,-0.007,6.19,102.9,96.7,9.07,2009.0,1462,Xavier
24.0,Wake Forest,ACC,24-7,18.54,108.1,89.5,75.7,0.052,7.5,104.3,96.8,-3.05,2009.0,1448,Wake Forest
26.0,Oklahoma St,B12,23-12,17.96,113.3,95.3,72.1,-0.003,11.05,105.9,94.9,2.32,2009.0,1329,Oklahoma St
27.0,USC,P10,22-13,17.82,106.1,88.3,66.6,-0.032,11.87,107.9,96.1,4.54,2009.0,1425,USC
29.0,Wisconsin,B10,20-13,17.24,109.9,92.7,61.0,-0.051,10.25,104.4,94.2,4.19,2009.0,1458,Wisconsin
33.0,Baylor,B12,24-15,15.99,112.4,96.4,68.6,-0.017,11.01,105.8,94.7,1.43,2009.0,1124,Baylor
35.0,Florida,SEC,25-11,15.78,111.5,95.7,68.9,-0.076,4.38,101.8,97.4,-4.02,2009.0,1196,Florida
37.0,Arizona,P10,21-14,15.55,114.0,98.4,67.1,0.019,12.03,106.3,94.2,5.14,2009.0,1112,Arizona
38.0,Butler,Horz,26-6,15.5,106.9,91.4,65.1,-0.014,2.83,99.9,97.1,5.81,2009.0,1139,Butler
39.0,Florida St,ACC,25-10,15.36,102.0,86.7,68.7,0.066,9.83,105.9,96.1,1.64,2009.0,1199,Florida St
40.0,Notre Dame,BE,21-15,15.04,111.3,96.2,69.8,-0.033,10.76,104.7,93.9,-1.56,2009.0,1323,Notre Dame
41.0,Minnesota,B10,22-11,14.99,103.7,88.7,66.9,0.031,9.68,104.8,95.1,0.25,2009.0,1278,Minnesota
43.0,Miami FL,ACC,19-13,14.91,107.1,92.2,67.3,-0.048,8.93,104.8,95.9,-1.69,2009.0,1274,Miami FL
47.0,Michigan,B10,21-14,14.47,108.3,93.8,64.5,0.014,11.68,105.4,93.7,3.13,2009.0,1276,Michigan
48.0,Kentucky,SEC,22-14,14.36,104.3,89.9,70.0,-0.073,6.02,103.8,97.8,-1.31,2009.0,1246,Kentucky
51.0,Kansas St,B12,22-12,13.86,105.5,91.6,70.0,-0.02,6.65,103.5,96.9,-4.71,2009.0,1243,Kansas St
54.0,VA Commonwealth,CAA,24-10,13.24,105.8,92.5,68.3,-0.072,0.56,99.9,99.4,3.41,2009.0,1433,VA Commonwealth
55.0,Maryland,ACC,21-14,13.24,105.8,92.5,69.5,0.04,10.69,105.7,95.0,1.18,2009.0,1268,Maryland
56.0,St Mary's CA,WCC,28-7,13.08,107.1,94.1,68.8,0.082,1.93,100.6,98.6,1.61,2009.0,1388,St Mary's CA
61.0,Rhode Island,A10,23-11,12.03,109.8,97.8,70.7,-0.042,2.67,101.3,98.7,0.26,2009.0,1348,Rhode Island
65.0,Northwestern,B10,17-14,11.67,106.9,95.3,63.1,-0.029,8.5,103.6,95.1,-2.26,2009.0,1321,Northwestern
315.0,Northwestern,Slnd,11-20,-15.94,88.5,104.4,77.3,0.062,-3.38,97.4,100.8,-3.57,2009.0,1321,Northwestern
68.0,Creighton,MVC,27-8,11.62,107.6,96.0,69.6,0.049,1.89,99.7,97.8,-0.56,2009.0,1166,Creighton
71.0,Virginia Tech,ACC,19-15,11.17,107.0,95.8,68.4,-0.007,8.54,104.6,96.1,-1.98,2009.0,1439,Virginia Tech
72.0,South Carolina,SEC,21-10,11.16,104.0,92.8,74.8,-0.012,3.88,101.6,97.8,-6.45,2009.0,1376,South Carolina
76.0,Seton Hall,BE,17-15,10.05,106.8,96.8,70.4,-0.024,8.37,103.4,95.0,-3.48,2009.0,1371,Seton Hall
77.0,Dayton,A10,27-8,10.04,99.7,89.6,67.0,0.108,3.36,102.1,98.8,-1.39,2009.0,1173,Dayton
78.0,Providence,BE,19-14,10.03,107.3,97.3,74.8,0.033,8.54,104.4,95.8,-1.36,2009.0,1344,Providence
80.0,Vanderbilt,SEC,19-12,9.84,104.0,94.1,68.4,-0.01,4.45,101.4,96.9,-2.84,2009.0,1435,Vanderbilt
84.0,Vermont,AE,24-9,8.9,105.2,96.3,71.2,-0.02,-5.33,96.6,101.9,-3.85,2009.0,1436,Vermont
86.0,Cincinnati,BE,18-14,8.53,104.5,96.0,66.6,0.032,9.13,104.1,95.0,1.76,2009.0,1153,Cincinnati
103.0,Nevada,WAC,21-13,6.01,101.8,95.8,69.1,0.002,2.04,101.6,99.6,3.82,2009.0,1305,Nevada
104.0,Virginia,ACC,10-18,5.6,99.7,94.1,71.0,-0.065,10.63,105.7,95.0,1.64,2009.0,1438,Virginia
105.0,ETSU,ASun,23-11,5.5,102.6,97.1,72.9,-0.047,-5.04,96.9,101.9,-2.42,2009.0,1190,ETSU
113.0,Iowa St,B12,15-17,4.42,98.9,94.4,66.5,-0.017,6.26,103.6,97.3,-4.69,2009.0,1235,Iowa St
124.0,Kent,MAC,19-15,3.41,99.2,95.8,68.8,-0.031,-0.95,97.7,98.6,0.75,2009.0,1245,Kent
125.0,New Mexico St,WAC,17-15,3.31,106.0,102.7,71.7,-0.021,1.04,100.4,99.4,0.83,2009.0,1308,New Mexico St
127.0,Arkansas,SEC,14-16,3.15,101.7,98.6,71.6,-0.04,4.86,102.4,97.6,-4.66,2009.0,1116,Arkansas
134.0,Wichita St,MVC,17-17,2.34,98.9,96.6,65.3,-0.006,3.2,101.5,98.3,1.54,2009.0,1455,Wichita St
144.0,Mt St Mary's,NEC,19-14,1.52,97.9,96.4,66.9,-0.09,-6.7,96.7,103.4,0.52,2009.0,1291,Mt St Mary's
158.0,Oregon,P10,8-23,0.4,100.7,100.3,70.3,0.018,13.12,107.8,94.7,7.72,2009.0,1332,Oregon
164.0,MTSU,SB,18-14,-0.11,100.3,100.4,66.7,-0.044,-3.86,99.1,103.0,-3.06,2009.0,1292,MTSU
181.0,Troy,SB,19-13,-1.33,104.9,106.3,72.6,0.065,-4.11,98.4,102.5,-3.45,2009.0,1407,Troy
194.0,Iona,MAAC,12-19,-2.63,92.6,95.2,66.4,-0.067,-2.07,97.4,99.5,-1.84,2009.0,1233,Iona
204.0,SMU,CUSA,9-21,-3.44,98.2,101.6,66.3,-0.07,3.78,101.5,97.7,-1.14,2009.0,1374,SMU
213.0,S Dakota St,Sum,13-20,-3.98,100.8,104.8,67.3,-0.043,-0.98,100.4,101.3,-0.23,2009.0,1355,S Dakota St
220.0,UC Davis,BW,13-19,-4.77,101.8,106.6,71.4,-0.056,-3.55,98.2,101.7,-5.7,2009.0,1413,UC Davis
255.0,Jacksonville St,OVC,11-17,-7.63,96.8,104.4,67.7,-0.033,-3.76,99.6,103.4,-0.91,2009.0,1240,Jacksonville St
264.0,Princeton,Ivy,13-14,-8.51,92.3,100.8,60.6,-0.034,-9.1,93.6,102.7,-9.0,2009.0,1343,Princeton
278.0,Winthrop,BSth,11-19,-10.4,88.4,98.8,64.9,0.033,-3.83,99.0,102.8,4.72,2009.0,1457,Winthrop
282.0,New Orleans,SB,11-19,-11.08,88.4,99.5,67.8,0.067,-4.7,98.0,102.7,-5.39,2009.0,1309,New Orleans
293.0,Bucknell,Pat,7-23,-12.74,89.6,102.4,70.4,-0.029,-4.07,95.9,100.0,0.14,2009.0,1137,Bucknell
297.0,FL Gulf Coast,ASun,11-20,-12.93,88.5,101.4,71.9,0.026,-3.96,97.7,101.7,1.54,2009.0,1195,FL Gulf Coast
305.0,UNC Wilmington,CAA,7-25,-14.27,96.4,110.6,72.9,0.029,0.46,99.9,99.4,-0.49,2009.0,1423,UNC Wilmington
321.0,TX Southern,SWAC,7-25,-18.23,90.3,108.5,69.3,-0.031,-7.88,95.0,102.9,7.2,2009.0,1411,TX Southern
343.0,NC Central,ind,4-27,-28.21,81.8,110.0,72.6,-0.015,-6.19,96.0,102.2,1.83,2009.0,1300,NC Central
,,,,,,,,,,,,,,1297,N Kentucky
,,,,,,,,,,,,,,1315,North Dakota
1.0,Duke,ACC,35-5,32.53,117.0,84.5,67.4,0.009,11.83,104.7,92.9,5.47,2010.0,1181,Duke
2.0,Kansas,B12,33-3,31.23,116.8,85.6,70.1,0.038,10.47,105.2,94.8,3.98,2010.0,1242,Kansas
4.0,Kentucky,SEC,35-3,25.93,110.9,85.0,71.5,0.06,8.23,103.7,95.5,2.1,2010.0,1246,Kentucky
5.0,Kansas St,B12,29-8,24.9,111.9,87.0,73.0,-0.007,12.33,106.3,94.0,4.73,2010.0,1243,Kansas St
6.0,West Virginia,BE,31-7,24.88,113.1,88.2,66.1,0.058,12.55,106.5,94.0,6.54,2010.0,1452,West Virginia
8.0,Baylor,B12,28-8,24.36,115.2,90.8,68.0,-0.02,10.63,105.0,94.4,-0.72,2010.0,1124,Baylor
9.0,Wisconsin,B10,24-9,23.11,111.7,88.6,61.8,-0.011,9.53,104.8,95.3,4.19,2010.0,1458,Wisconsin
12.0,Butler,Horz,33-5,21.93,107.2,85.3,66.1,0.033,6.09,102.9,96.8,10.61,2010.0,1139,Butler
13.0,Maryland,ACC,24-9,21.78,113.7,91.9,72.1,-0.022,9.61,103.7,94.1,-1.69,2010.0,1268,Maryland
15.0,Purdue,B10,29-6,21.51,105.3,83.8,69.4,0.07,9.47,104.7,95.2,1.43,2010.0,1345,Purdue
17.0,Villanova,BE,25-8,20.67,112.8,92.2,74.2,0.025,10.31,105.4,95.1,1.04,2010.0,1437,Villanova
18.0,Xavier,A10,26-9,20.49,111.4,90.9,71.6,0.01,8.31,103.0,94.7,8.36,2010.0,1462,Xavier
20.0,Michigan St,B10,28-9,19.69,108.7,89.0,68.2,0.028,9.39,104.3,94.9,1.47,2010.0,1277,Michigan St
24.0,Marquette,BE,22-12,19.27,111.4,92.1,65.5,-0.064,9.46,104.7,95.3,-2.17,2010.0,1266,Marquette
26.0,Dayton,A10,25-12,18.56,104.5,85.9,69.0,-0.097,7.05,102.7,95.6,5.31,2010.0,1173,Dayton
29.0,St Mary's CA,WCC,28-6,18.2,112.9,94.7,68.5,0.038,3.14,102.3,99.1,2.54,2010.0,1388,St Mary's CA
33.0,Florida St,ACC,22-10,17.65,101.0,83.3,68.5,0.009,9.56,104.2,94.6,-0.5,2010.0,1199,Florida St
34.0,Minnesota,B10,21-14,17.62,108.0,90.4,68.3,-0.056,9.01,104.5,95.5,0.26,2010.0,1278,Minnesota
35.0,Notre Dame,BE,23-12,17.3,115.0,97.7,65.2,-0.067,7.85,103.9,96.0,-3.62,2010.0,1323,Notre Dame
36.0,Vanderbilt,SEC,24-9,17.2,109.6,92.4,71.9,0.019,9.12,104.2,95.1,4.45,2010.0,1435,Vanderbilt
38.0,Louisville,BE,20-13,16.54,111.2,94.7,69.3,-0.038,10.02,105.0,95.0,2.61,2010.0,1257,Louisville
39.0,Oklahoma St,B12,22-11,16.44,109.4,92.9,69.0,0.011,8.94,104.0,95.0,-1.73,2010.0,1329,Oklahoma St
44.0,Gonzaga,WCC,27-7,15.78,108.3,92.5,70.6,0.079,4.04,102.5,98.5,6.08,2010.0,1211,Gonzaga
47.0,Virginia Tech,ACC,25-9,15.47,104.6,89.1,70.6,0.034,6.49,102.9,96.4,-6.49,2010.0,1439,Virginia Tech
50.0,Florida,SEC,21-13,14.89,108.5,93.6,67.9,-0.061,8.33,103.4,95.1,0.4,2010.0,1196,Florida
55.0,Miami FL,ACC,20-13,14.56,108.4,93.8,68.5,-0.07,6.7,101.3,94.6,-9.14,2010.0,1274,Miami FL
56.0,VA Commonwealth,CAA,27-9,14.16,109.9,95.7,70.2,-0.016,1.71,99.5,97.8,1.52,2010.0,1433,VA Commonwealth
58.0,Wake Forest,ACC,20-11,13.9,104.0,90.1,71.5,0.068,10.87,104.2,93.4,0.56,2010.0,1448,Wake Forest
60.0,Rhode Island,A10,26-10,13.22,108.8,95.6,70.7,0.034,5.28,101.8,96.5,3.22,2010.0,1348,Rhode Island
61.0,North Carolina,ACC,20-17,13.15,104.0,90.9,73.5,-0.013,11.71,105.2,93.5,3.09,2010.0,1314,North Carolina
64.0,Wichita St,MVC,25-10,11.98,105.0,93.0,67.1,0.005,2.73,101.3,98.5,-4.6,2010.0,1455,Wichita St
66.0,Seton Hall,BE,19-13,11.82,108.7,96.8,73.0,-0.008,8.37,104.5,96.1,-5.94,2010.0,1371,Seton Hall
68.0,Cincinnati,BE,19-16,11.66,102.7,91.0,68.2,-0.013,10.32,105.2,94.9,1.71,2010.0,1153,Cincinnati
70.0,Michigan,B10,15-17,11.23,103.6,92.4,64.2,-0.079,9.82,104.6,94.7,4.83,2010.0,1276,Michigan
73.0,Iowa St,B12,15-17,10.84,103.4,92.6,70.6,-0.08,10.23,105.8,95.6,-0.64,2010.0,1235,Iowa St
76.0,Virginia,ACC,15-16,10.48,104.0,93.6,64.9,-0.067,9.15,103.4,94.2,-1.93,2010.0,1438,Virginia
77.0,USC,P10,16-14,10.38,93.2,82.8,65.2,-0.044,7.18,103.6,96.5,4.26,2010.0,1425,USC
80.0,Nevada,WAC,21-13,9.98,109.0,99.0,72.0,-0.03,4.3,103.5,99.2,5.82,2010.0,1305,Nevada
84.0,Northwestern,B10,20-14,9.5,108.5,99.0,65.9,0.002,6.16,101.8,95.7,-4.85,2010.0,1321,Northwestern
303.0,Northwestern,Slnd,10-19,-13.69,93.6,107.3,76.7,-0.007,-6.35,96.2,102.6,-4.82,2010.0,1321,Northwestern
85.0,South Carolina,SEC,15-16,8.84,102.3,93.5,72.0,-0.036,9.33,104.3,95.0,3.62,2010.0,1376,South Carolina
86.0,Kent,MAC,24-10,8.7,103.2,94.5,69.3,0.071,2.16,100.1,97.9,3.95,2010.0,1245,Kent
88.0,Arizona,P10,16-15,8.57,104.5,96.0,70.4,0.026,8.73,104.0,95.3,8.82,2010.0,1112,Arizona
91.0,Providence,BE,12-19,8.46,111.8,103.4,76.2,-0.111,9.6,104.9,95.3,-0.02,2010.0,1344,Providence
111.0,Iona,MAAC,21-10,5.99,96.7,90.7,68.0,0.042,-0.46,98.4,98.9,0.92,2010.0,1233,Iona
113.0,New Mexico St,WAC,22-12,5.92,108.6,102.6,72.7,0.123,3.27,102.1,98.8,0.73,2010.0,1308,New Mexico St
115.0,Creighton,MVC,18-16,5.49,103.9,98.4,68.4,-0.014,3.59,101.6,98.0,0.39,2010.0,1166,Creighton
118.0,UCLA,P10,14-18,5.24,102.6,97.4,67.3,-0.016,8.11,103.7,95.6,4.58,2010.0,1417,UCLA
119.0,Arkansas,SEC,14-18,5.19,102.2,97.0,72.5,-0.074,7.2,103.2,96.0,1.48,2010.0,1116,Arkansas
120.0,Princeton,Ivy,22-9,5.17,94.6,89.5,61.8,0.008,-5.96,95.7,101.7,-5.76,2010.0,1343,Princeton
129.0,Oregon,P10,16-16,3.82,102.3,98.5,68.4,0.008,6.24,102.5,96.3,-1.08,2010.0,1332,Oregon
136.0,Vermont,AE,25-10,2.97,100.0,97.0,69.5,0.067,-7.09,94.9,102.0,-5.46,2010.0,1436,Vermont
147.0,SMU,CUSA,14-17,2.44,102.8,100.3,64.0,-0.107,2.29,100.0,97.7,-2.7,2010.0,1374,SMU
149.0,ETSU,ASun,20-15,2.37,96.7,94.3,70.5,-0.002,-2.04,98.3,100.4,6.73,2010.0,1190,ETSU
164.0,MTSU,SB,19-14,0.71,97.8,97.1,67.7,-0.044,-4.83,97.2,102.0,-2.27,2010.0,1292,MTSU
177.0,Troy,SB,20-13,-0.59,101.3,101.9,69.4,0.082,-2.28,99.3,101.5,5.62,2010.0,1407,Troy
181.0,Mt St Mary's,NEC,16-15,-0.82,92.7,93.6,69.5,-0.066,-7.43,94.9,102.3,4.61,2010.0,1291,Mt St Mary's
214.0,UNC Wilmington,CAA,9-22,-4.02,94.9,98.9,70.6,-0.059,2.35,100.9,98.5,3.63,2010.0,1423,UNC Wilmington
219.0,S Dakota St,Sum,14-16,-4.96,102.0,107.0,69.9,-0.049,-4.74,97.0,101.7,2.77,2010.0,1355,S Dakota St
225.0,Winthrop,BSth,19-14,-5.61,87.4,93.0,66.9,0.05,-8.02,94.9,102.9,3.26,2010.0,1457,Winthrop
226.0,UC Davis,BW,14-18,-5.74,97.3,103.0,69.8,-0.004,-3.47,96.6,100.1,-3.87,2010.0,1413,UC Davis
244.0,Bucknell,Pat,14-17,-7.73,94.3,102.1,66.8,-0.02,-8.31,95.7,104.0,-6.62,2010.0,1137,Bucknell
263.0,Jacksonville St,OVC,11-19,-10.11,94.3,104.4,69.3,-0.06,-4.97,97.4,102.4,-4.66,2010.0,1240,Jacksonville St
267.0,TX Southern,SWAC,17-16,-10.23,89.8,100.1,69.8,-0.007,-11.87,90.7,102.5,4.77,2010.0,1411,TX Southern
301.0,FL Gulf Coast,ASun,8-21,-13.53,90.8,104.3,70.0,0.009,-5.49,95.8,101.2,-6.51,2010.0,1195,FL Gulf Coast
315.0,New Orleans,SB,8-22,-16.27,85.6,101.9,66.7,0.001,-5.09,96.7,101.8,-5.62,2010.0,1309,New Orleans
339.0,NC Central,ind,7-22,-21.98,82.4,104.3,69.3,-0.016,-5.68,95.8,101.5,-3.65,2010.0,1300,NC Central
343.0,North Dakota,GWC,8-23,-24.28,89.7,114.0,67.5,-0.005,-10.86,92.3,103.2,-1.86,2010.0,1315,North Dakota
,,,,,,,,,,,,,,1297,N Kentucky
2.0,Kansas,B12,35-3,27.94,115.5,87.6,70.9,0.061,8.61,105.2,96.6,2.51,2011.0,1242,Kansas
3.0,Duke,ACC,32-5,27.79,115.5,87.8,71.7,0.018,9.52,104.4,94.9,5.79,2011.0,1181,Duke
6.0,Wisconsin,B10,25-9,25.31,118.2,92.9,59.3,-0.003,11.29,106.7,95.4,-0.07,2011.0,1458,Wisconsin
