Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,Season,Team_Id,Team_Name
,,,,,,,,,,,,,,1297,N Kentucky
,,,,,,,,,,,,,,1300,NC Central
,,,,,,,,,,,,,,1315,North Dakota
,,,,,,,,,,,,,,1355,S Dakota St
,,,,,,,,,,,,,,1413,UC Davis
1.0,Kentucky,SEC,32-4,28.5,112.8,84.3,70.4,0.051,11.1,105.9,94.8,7.02,2003.0,1246,Kentucky
2.0,Kansas,B12,30-8,28.09,111.8,83.7,75.0,-0.017,11.66,106.0,94.3,7.43,2003.0,1242,Kansas
4.0,Arizona,P10,28-4,26.35,112.3,85.9,75.8,-0.006,8.95,104.6,95.7,10.12,2003.0,1112,Arizona
6.0,Duke,ACC,26-7,23.32,111.9,88.6,73.4,-0.03,9.76,105.0,95.2,4.06,2003.0,1181,Duke
10.0,Louisville,CUSA,25-7,22.31,112.6,90.3,74.3,-0.028,7.69,103.1,95.4,7.3,2003.0,1257,Louisville
11.0,Florida,SEC,25-8,21.75,112.7,90.9,68.1,0.009,8.77,103.5,94.7,1.42,2003.0,1196,Florida
12.0,Wisconsin,B10,24-8,21.65,110.8,89.2,65.0,-0.024,7.32,103.7,96.4,2.12,2003.0,1458,Wisconsin
13.0,Maryland,ACC,21-10,21.63,107.5,85.8,74.2,-0.078,9.09,104.4,95.3,-1.23,2003.0,1268,Maryland
15.0,Marquette,CUSA,27-6,20.84,116.5,95.6,69.2,0.07,8.48,103.7,95.2,1.95,2003.0,1266,Marquette
18.0,Michigan St,B10,22-13,19.89,106.7,86.8,67.0,-0.05,10.87,104.9,94.1,6.47,2003.0,1277,Michigan St
19.0,Notre Dame,BE,24-10,19.84,112.6,92.8,73.0,0.009,11.39,104.8,93.4,6.69,2003.0,1323,Notre Dame
20.0,Xavier,A10,26-6,19.54,110.5,91.0,70.7,0.018,5.21,102.5,97.3,5.77,2003.0,1462,Xavier
21.0,Wake Forest,ACC,25-6,19.47,111.4,91.9,70.5,0.073,8.39,103.5,95.2,-0.36,2003.0,1448,Wake Forest
24.0,Oklahoma St,B12,22-10,17.33,102.3,84.9,70.0,0.003,9.78,104.0,94.3,1.53,2003.0,1329,Oklahoma St
26.0,Creighton,MVC,29-5,17.25,109.3,92.0,71.2,0.025,0.81,100.5,99.7,2.54,2003.0,1166,Creighton
27.0,Purdue,B10,19-11,17.21,103.8,86.6,71.9,-0.013,10.38,105.2,94.8,8.08,2003.0,1345,Purdue
31.0,Butler,Horz,27-6,15.75,112.2,96.4,61.5,0.073,3.22,101.3,98.1,0.29,2003.0,1139,Butler
33.0,Gonzaga,WCC,24-9,15.3,110.0,94.7,70.0,-0.021,3.82,101.2,97.3,6.41,2003.0,1211,Gonzaga
36.0,Cincinnati,CUSA,17-12,14.43,101.8,87.4,69.1,-0.069,8.26,104.4,96.1,6.41,2003.0,1153,Cincinnati
39.0,UNC Wilmington,CAA,24-7,14.35,106.4,92.0,67.5,-0.031,-2.99,96.4,99.4,-3.03,2003.0,1423,UNC Wilmington
40.0,Dayton,A10,24-6,14.29,113.7,99.4,66.5,0.085,6.08,102.4,96.3,7.06,2003.0,1173,Dayton
43.0,Oregon,P10,23-10,13.91,107.9,93.9,75.0,0.032,5.6,102.4,96.8,-1.91,2003.0,1332,Oregon
45.0,Providence,BE,18-14,13.54,104.2,90.7,70.3,-0.051,8.81,103.8,95.0,4.1,2003.0,1344,Providence
53.0,North Carolina,ACC,19-16,11.94,104.4,92.5,72.0,0.024,11.72,105.1,93.4,7.61,2003.0,1314,North Carolina
54.0,Seton Hall,BE,17-13,11.93,101.3,89.3,69.1,0.023,9.52,103.7,94.2,2.38,2003.0,1371,Seton Hall
57.0,Villanova,BE,15-16,11.01,103.1,92.1,71.8,-0.059,9.05,104.0,95.0,7.3,2003.0,1437,Villanova
60.0,Kansas St,B12,13-17,10.72,104.3,93.6,68.8,-0.154,7.8,102.3,94.5,-1.97,2003.0,1243,Kansas St
61.0,Michigan,B10,17-13,10.54,105.1,94.6,68.7,0.024,8.41,103.9,95.5,4.15,2003.0,1276,Michigan
62.0,Iowa St,B12,16-14,10.46,103.2,92.7,69.7,-0.045,7.39,102.5,95.1,-7.75,2003.0,1235,Iowa St
72.0,Minnesota,B10,19-14,9.48,103.9,94.4,73.1,0.016,7.56,103.3,95.8,0.29,2003.0,1278,Minnesota
77.0,Florida St,ACC,14-15,8.61,97.6,89.0,70.7,-0.052,8.61,104.7,96.1,-1.9,2003.0,1199,Florida St
79.0,South Carolina,SEC,12-16,8.17,99.8,91.7,68.7,-0.028,9.98,105.4,95.4,2.06,2003.0,1376,South Carolina
82.0,Virginia,ACC,16-16,8.03,105.7,97.7,72.0,0.025,9.91,104.4,94.5,2.4,2003.0,1438,Virginia
84.0,Nevada,WAC,17-14,7.97,104.7,96.7,72.0,-0.096,1.84,100.4,98.6,4.33,2003.0,1305,Nevada
88.0,New Mexico St,SB,19-9,7.32,104.3,97.0,70.2,-0.005,-0.87,99.3,100.2,-5.68,2003.0,1308,New Mexico St
90.0,USC,P10,13-17,6.68,101.7,95.0,76.4,-0.056,7.68,104.1,96.4,1.08,2003.0,1425,USC
91.0,Vanderbilt,SEC,11-18,6.65,100.7,94.0,72.2,-0.05,11.31,105.8,94.4,1.54,2003.0,1435,Vanderbilt
