Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
197,The Citadel,SC,16-16,-1.89,96.5,98.4,62,-0.021,-2.56,98.6,101.1,1.59
198,UTSA,Slnd,19-11,-2.14,100.1,102.3,66.1,0.033,-5.93,96.3,102.2,-5.42
199,Manhattan,MAAC,11-20,-2.25,95.6,97.9,69.5,-0.11,-1.47,97.4,98.9,-4.33
200,Bowling Green,MAC,14-16,-2.84,97.4,100.3,66.4,0.052,0.08,99.2,99.1,-1.16
201,Arkansas St.,SB,17-14,-2.84,95,97.8,69.6,0.002,-4.93,97.5,102.4,-1.48
202,Canisius,MAAC,15-17,-2.86,96.6,99.4,68.4,-0.003,-2.79,96.3,99.1,-5.63
203,Southeastern Louisiana,Slnd,19-12,-2.95,97.9,100.8,69.3,-0.007,-6.87,95.7,102.6,-5.25
204,San Francisco,WCC,12-18,-3.07,97.3,100.4,69,0.007,2.66,102.3,99.6,3.55
205,Mercer,ASun,16-17,-3.23,103.9,107.1,71.6,-0.014,-2.42,96.8,99.2,7.17
206,Florida Atlantic,SB,14-16,-3.24,99.8,103.1,70.7,-0.039,-3.54,97.8,101.3,2.4
207,Austin Peay,OVC,17-15,-3.46,100.2,103.6,69,0.081,-1.42,99.1,100.6,7.77
208,Georgia St.,CAA,12-20,-3.55,96,99.6,64.7,-0.058,-0.6,98.5,99.1,-5.6
209,San Diego,WCC,11-21,-3.6,94.7,98.3,65.1,-0.046,2.79,101.8,99,3.68
210,Cal St. Fullerton,BW,16-15,-3.77,99.1,102.9,70.4,0.039,-2.86,97.9,100.8,-0.48
211,Eastern Illinois,OVC,19-12,-3.88,96.2,100.1,66.3,0.092,-5.02,97,102,-4.31
212,Maine,AE,19-11,-3.98,90.9,94.9,67.2,0.123,-6.95,95.2,102.1,-4.23
213,Loyola MD,MAAC,13-17,-3.98,95.5,99.5,68.6,-0.032,-2.99,95.9,98.9,-8.18
214,UNC Wilmington,CAA,9-22,-4.02,94.9,98.9,70.6,-0.059,2.35,100.9,98.5,3.63
215,James Madison,CAA,13-20,-4.11,97.6,101.7,69.7,-0.001,-1.26,98.4,99.7,-8.11
216,Louisiana Lafayette,SB,13-17,-4.13,96.2,100.3,68.3,-0.066,-5.25,97.3,102.6,-2.06
217,Loyola Chicago,Horz,14-16,-4.25,98.1,102.3,66.1,0.059,0.9,100.4,99.5,-2.14
218,Radford,BSth,19-12,-4.83,91.8,96.6,71,0.067,-8.37,94.7,103.1,5.52
219,South Dakota St.,Sum,14-16,-4.96,102,107,69.9,-0.049,-4.74,97,101.7,2.77
220,Evansville,MVC,9-21,-5.26,94.5,99.8,68.1,-0.055,2.43,101.4,99,-7.95
221,Northern Arizona,BSky,14-14,-5.33,95.4,100.7,68.7,0.087,-1.69,99.6,101.3,-0.25
222,Ball St.,MAC,15-15,-5.36,91,96.4,65.3,0.052,-2.1,97.6,99.7,-2.86
223,Cal St. Northridge,BW,11-21,-5.4,94.3,99.7,74,-0.018,-1.66,98.8,100.5,0.58
224,Tulane,CUSA,8-22,-5.46,91.5,97,68.2,-0.071,2.13,100.4,98.3,-1.65
225,Winthrop 16,BSth,19-14,-5.61,87.4,93,66.9,0.05,-8.02,94.9,102.9,3.26
226,UC Davis,BW,14-18,-5.74,97.3,103,69.8,-0.004,-3.47,96.6,100.1,-3.87
227,Hampton,MEAC,14-18,-6.1,90.4,96.5,70.1,-0.111,-10.11,93.5,103.6,-4.78
228,Texas St.,Slnd,15-16,-6.15,95.3,101.5,77.2,0.02,-4.11,97.3,101.4,-0.57
229,Youngstown St.,Horz,8-22,-6.16,96.2,102.4,69.5,-0.078,1.15,99.8,98.7,-2.33
230,UC Riverside,BW,12-17,-6.17,94.2,100.3,64.1,-0.039,-2.85,97.6,100.5,-1.93
231,Arkansas Pine Bluff 16,SWAC,18-16,-6.26,89.6,95.9,68,0.053,-9.04,92.3,101.4,11.9
232,East Carolina,CUSA,10-21,-6.38,98.1,104.5,70,-0.017,4.67,101.1,96.4,5.62
233,Furman,SC,13-17,-6.61,94.5,101.1,70.5,-0.046,-5.38,96.1,101.5,-8.21
234,Hawaii,WAC,10-20,-6.65,97.1,103.8,68.1,-0.053,1.87,102.4,100.5,-2.61
235,Holy Cross,Pat,9-22,-7.06,98.7,105.7,68.3,-0.143,-5.76,96.7,102.4,-0.87
236,Northern Illinois,MAC,10-20,-7.15,94.6,101.8,72.3,-0.043,-2.14,97.2,99.3,-2.41
237,IPFW,Sum,16-15,-7.15,93.3,100.4,69,0.039,-6.37,96.8,103.2,-4.04
238,Santa Clara,WCC,11-21,-7.31,93.2,100.5,68.2,0.015,1.44,100.4,99,0.65
239,Lafayette,Pat,19-13,-7.48,100.4,107.9,69.5,0.073,-10.12,93.6,103.7,-11.05
240,Wyoming,MWC,10-21,-7.48,93.6,101.1,72.7,0.004,3.71,101.5,97.8,-1.23
241,UT Arlington,Slnd,16-14,-7.56,92.2,99.7,74,0.01,-7.13,96.2,103.3,-11.7
242,Cal Poly,BW,12-19,-7.56,99.4,107,69.7,0.048,-3.17,98.2,101.4,-3.06
243,North Dakota St.,Sum,11-18,-7.57,93.4,100.9,69.9,-0.052,-4.81,97,101.8,0.67
244,Bucknell,Pat,14-17,-7.73,94.3,102.1,66.8,-0.02,-8.31,95.7,104,-6.62
245,Illinois Chicago,Horz,8-22,-7.74,92.4,100.2,70.5,-0.029,1.8,100.5,98.7,0.03
246,Towson,CAA,10-21,-7.76,99.1,106.8,70.7,0.01,0.15,98.4,98.2,-2.17
247,South Dakota,GWC,22-10,-7.92,95.3,103.2,75.9,0.109,-12.85,91.8,104.7,-0.65
248,Chattanooga,SC,15-18,-7.99,93,101,72.2,0.032,-3.18,98.5,101.7,-1.6
249,South Alabama,SB,17-15,-8.21,92.1,100.3,68.1,0.116,-4.18,97.6,101.8,-2.63
250,Rice,CUSA,8-23,-8.22,91.9,100.1,69.2,-0.082,0.36,99.7,99.3,-4.72
251,Samford,SC,11-20,-8.31,97.4,105.8,59,-0.078,-1.57,98.5,100,3.41
252,UC Irvine,BW,14-18,-8.36,97.5,105.8,66.6,0.016,-4.5,97.9,102.4,-6.06
253,UNC Greensboro,SC,8-23,-8.44,92.7,101.1,69.4,-0.03,1.3,99.8,98.5,10.61
254,Air Force,MWC,10-21,-8.59,94,102.6,60.5,-0.046,3.26,100.6,97.4,-4.27
255,South Carolina St.,MEAC,18-14,-8.72,93.7,102.4,70.9,0.028,-10.79,92.8,103.6,-5.43
256,Tennessee Tech,OVC,15-17,-8.92,100.8,109.7,69.6,0.098,-3.13,98.3,101.4,1.57
257,Delaware,CAA,7-24,-9.12,95.8,104.9,66.8,0.035,3.13,100.6,97.4,2.5
258,Tennessee St.,OVC,9-23,-9.21,94.1,103.4,70.2,-0.009,-2.47,98.4,100.9,1.06
259,Army,Pat,14-15,-9.46,85.8,95.2,66.4,-0.019,-9.09,95.4,104.5,-9.25
