OriTeamName,AdjTeamName
La Salle,La Salle
East Carolina,East Carolina
Southern Miss,Southern Miss
Belmont,Belmont
Northwestern,Northwestern
Ohio,Ohio
Ball St,Ball St
Delaware,Delaware
TCU,TCU
New Orleans,New Orleans
Appalachian St,Appalachian St
Marshall,Marshall
Mercer,Mercer
Pacific,Pacific
Akron,Akron
Niagara,Niagara
Wagner,Wagner
Eastern Illinois,E Illinois
Cal Poly,Cal Poly SLO
Evansville,Evansville
Boise St,Boise St
Bowling Green,Bowling Green
Oakland,Oakland
Idaho St,Idaho St
New Mexico,New Mexico
Louisiana Tech,Louisiana Tech
Cal St Northridge,CS Northridge
Northern Arizona,Northern Arizona
Jacksonville St,Jacksonville St
Montana,Montana
UT Arlington,UT Arlington
Northern Iowa,Northern Iowa
Southwest Texas St,Texas St
Massachusetts,Massachusetts
Maine,Maine
Binghamton,Binghamton
Hartford,Hartford
Green Bay,WI Green Bay
Canisius,Canisius
Wofford,Wofford
Eastern Michigan,E Michigan
Loyola Marymount,Loy Marymount
Duquesne,Duquesne
Samford,Samford
Washington St,Washington St
Portland,Portland
Penn St,Penn St
Idaho,Idaho
Houston,Houston
McNeese St,McNeese St
Northeastern,Northeastern
Marist,Marist
Illinois St,Illinois St
James Madison,James Madison
Wright St,Wright St
Montana St,Montana St
Harvard,Harvard
Rider,Rider
Bucknell,Bucknell
Winthrop,Winthrop
Lehigh,Lehigh
Georgia St,Georgia St
Santa Clara,Santa Clara
Drake,Drake
FIU,Florida Intl
Birmingham Southern,Birmingham So
Quinnipiac,Quinnipiac
Tennessee Martin,TN Martin
Georgia Southern,Ga Southern
North Texas,North Texas
Furman,Furman
Cal St Fullerton,CS Fullerton
Colgate,Colgate
Mississippi Valley St,Mississippi St
Cleveland St,Cleveland St
Saint Peter's,St Peter's
St Francis NY,St Francis NY
Central Connecticut,Central Conn
Hampton,Hampton
Monmouth,Monmouth NJ
Lamar,Lamar
South Carolina St,S Carolina St
Centenary,Centenary
Sacramento St,CS Sacramento
Lafayette,Lafayette
UNC Greensboro,UNC Greensboro
Prairie View A&M,Prairie View
Charleston Southern,Charleston So
Southeast Missouri St,SE Missouri St
Texas A&M Corpus Chris,Texas A&M
Youngstown St,Youngstown St
Louisiana Monroe,ULM
Hofstra,Hofstra
Alabama St,Alabama St
St Francis PA,St Francis PA
Fordham,Fordham
Buffalo,Buffalo
Texas Southern,TX Southern
Jacksonville,Jacksonville
Southeastern Louisiana,SE Louisiana
Coastal Carolina,Coastal Car
Delaware St,Delaware St
Southern Utah,Southern Utah
Indiana St,Indiana St
Jackson St,Jackson St
UC Riverside,UC Riverside
Eastern Kentucky,E Kentucky
Florida A&M,Florida A&M
Stony Brook,Stony Brook
William & Mary,William & Mary
IPFW,IPFW
UMKC,Missouri KC
Portland St,Portland St
Howard,Howard
Gardner Webb,Gardner Webb
Alcorn St,Alcorn St
San Jose St,San Jose St
Fairleigh Dickinson,F Dickinson
UTSA,UT San Antonio
Western Carolina,W Carolina
UNC Asheville,UNC Asheville
Dartmouth,Dartmouth
LIU Brooklyn,Long Island
Robert Morris,Robert Morris
Coppin St,Coppin St
Florida Atlantic,FL Atlantic
VMI,VMI
The Citadel,Citadel
Navy,Navy
Elon,Elon
Cornell,Cornell
Norfolk St,Norfolk St
Long Beach St,Long Beach St
UTEP,UTEP
Liberty,Liberty
Grambling St,Grambling
Mount St Mary's,Mt St Mary's
Lipscomb,Lipscomb
Stetson,Stetson
Texas Pan American,UTRGV
Sacred Heart,Sacred Heart
Northwestern St,Northwestern
UMBC,UMBC
Western Illinois,W Illinois
High Point,High Point
Chicago St,Chicago St
Alabama A&M,Alabama A&M
Albany,Albany NY
New Hampshire,New Hampshire
Southern,Southern Univ
Radford,Radford
Bethune Cookman,Bethune-Cookman
Loyola MD,Loyola MD
Columbia,Columbia
Towson,Towson
Campbell,Campbell
Maryland Eastern Shore,MD E Shore
Nicholls St,Nicholls St
Morgan St,Morgan St
Arkansas Pine Bluff,Ark Pine Bluff
Army,Army
Savannah St,Savannah St
Morris Brown,Morris Brown
Tennessee St,Tennessee St
North Carolina A&T,NC A&T
