Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS AdjEM
91,Texas A&M Corpus Chris 15,Slnd,26-7,7.64,109.7,102.1,70.8,0.058,-5.01,97.1,102.2,1.59
92,Penn 14,Ivy,22-9,7.46,105,97.5,70.5,0.048,-2.4,99.1,101.5,2.05
93,New Mexico St. 13,WAC,25-9,7.21,104.3,97.1,72.5,0.036,0.76,101.2,100.5,-2.32
94,Houston,CUSA,18-15,7.21,103,95.8,71,-0.023,3.62,102,98.4,4.41
95,Holy Cross 13,Pat,25-9,7.19,98.4,91.2,65.1,0.026,-3.66,97.8,101.5,-0.32
96,George Washington 11,A10,23-9,7.11,100.7,93.5,69,0.09,-0.46,101.3,101.7,-4.18
97,Saint Joseph's,A10,18-14,6.94,104.9,98,65,-0.043,2.8,103.1,100.3,3.65
98,Bucknell,Pat,22-9,6.73,102.6,95.9,63,-0.001,-3.83,97.3,101.1,1.24
99,Wright St. 14,Horz,23-10,6.57,100.5,93.9,65,0.137,0.23,101.9,101.7,-3.02
100,Hofstra,CAA,22-10,6.52,110.5,103.9,67.2,0.052,-0.08,99.6,99.7,0.15
101,Utah Valley St.,ind,22-7,6.48,105.4,99,64.7,-0.01,-8.19,97.1,105.3,-3.12
102,Saint Mary's,WCC,17-15,6.34,101.7,95.4,68.2,-0.102,1.56,100.6,99,4.6
103,Wake Forest,ACC,15-16,6.32,103.9,97.6,72.4,0.049,10.63,107.2,96.5,-0.95
104,Fresno St.,WAC,22-10,6.18,98,91.9,71.6,0.051,0.51,100.3,99.8,-2.64
105,North Dakota St.,ind,20-8,6.1,105.3,99.2,69.3,-0.075,-7.41,95.8,103.2,-0.57
106,Seton Hall,BE,13-16,5.93,103.7,97.7,72.7,-0.099,6.23,103.7,97.5,-1.55
107,Baylor,B12,15-16,5.81,106.9,101.1,69.4,-0.057,5.91,103.8,97.9,-8.61
108,Colorado St.,MWC,17-13,5.67,103.7,98.1,70.5,0.011,4.03,103.4,99.4,-4.1
109,Miami FL,ACC,12-20,5.66,108.3,102.7,66.7,-0.078,9.15,105.8,96.7,-2.73
110,Drake,MVC,17-15,5.55,109.5,104,69.9,0.052,6.85,104.3,97.4,-2.94
111,Toledo,MAC,19-13,5.53,101.6,96.1,69.4,0.058,2.66,101.5,98.8,7.73
112,UCF,CUSA,22-9,5.47,105,99.5,66.5,-0.002,-3.52,97.7,101.3,-9.39
113,Boise St.,WAC,17-14,5.34,102.7,97.4,73.2,-0.057,1.25,100.6,99.4,-1.02
114,Long Beach St. 12,BW,24-8,5.23,107.8,102.5,73.8,0.111,-3.62,98.4,102,-3.65
115,Tulsa,CUSA,20-11,5.15,96.8,91.7,68.6,-0.019,-0.65,98.9,99.6,-4.36
116,Western Kentucky,SB,22-11,5.14,108.8,103.7,69.9,-0.016,-3.72,99.3,103,4.29
117,UAB,CUSA,15-16,4.84,98.6,93.7,67,-0.042,2.86,101.2,98.3,3.74
118,Western Michigan,MAC,16-16,4.61,104.1,99.5,69.9,-0.023,2.76,101.3,98.5,8.68
119,Marist,MAAC,25-9,4.43,104.7,100.3,69.3,0.017,-5.37,97.8,103.2,-2.47
120,Saint Louis,A10,20-13,4.28,100,95.7,65.5,0.095,3.41,103.6,100.2,5.75
121,Belmont 15,ASun,23-10,4.23,102.5,98.2,68.2,0.023,-7.19,96.1,103.3,0.68
122,Dayton,A10,19-12,4.05,101,97,66.5,0.088,2.45,102.8,100.3,2.52
123,Vermont,AE,25-8,4.04,101.2,97.1,68.4,0.056,-5.82,97,102.9,-3.12
124,College of Charleston,SC,22-11,4.04,99.6,95.6,67.9,0.032,-2.52,99.6,102.1,-2.13
125,Ohio,MAC,19-13,4.01,104.8,100.8,69,0.028,0.69,100.5,99.8,0.38
126,South Carolina,SEC,14-16,3.91,105.4,101.5,63.7,0.067,10.04,105.7,95.7,-1.25
127,Southern Miss,CUSA,20-11,3.5,99.2,95.7,68.5,0.001,-0.17,98.6,98.8,-6.04
128,St. John's,BE,16-15,3.4,98.6,95.2,66.9,0.038,6.57,103.6,97,-3.39
129,Wyoming,MWC,17-15,3.4,104.3,101,71.3,0.053,4.38,103.9,99.5,-1.86
130,Oakland,MCon,19-14,3.31,105.5,102.2,66.7,0.039,0.02,100.8,100.7,5.93
131,Temple,A10,12-18,2.97,105.8,102.8,71.8,-0.122,2.24,102.2,99.9,3.29
132,Sam Houston St.,Slnd,21-10,2.88,101.9,99.1,72.2,0.009,-5.26,97.1,102.4,0.74
133,UTEP,CUSA,14-17,2.69,99.6,96.9,74.8,-0.137,-0.08,99.5,99.6,-3.17
134,Iowa St.,B12,15-16,2.62,96.7,94.1,66.6,0.038,6.29,104.1,97.9,-2.51
135,Rhode Island,A10,19-14,2.57,108.7,106.1,70,0.066,2.55,102.4,99.9,2.1
136,Northwestern,B10,13-18,2.45,100.4,98,59.6,-0.05,8.22,104.6,96.4,-1.46
137,Fordham,A10,18-12,2.38,96.8,94.4,66,0.052,-0.49,102,102.5,0.93
138,Albany 13,AE,23-10,2.13,102.6,100.4,66.4,0.109,-4.49,98.2,102.7,-0.89
139,New Mexico,MWC,15-17,2.11,106.6,104.5,68.1,-0.054,3.06,102.4,99.4,-2.89
140,Indiana St.,MVC,13-18,1.98,99.7,97.7,64.7,0.058,9.52,105.8,96.3,3.27
141,Tulane,CUSA,17-13,1.87,98.6,96.7,71.6,0.044,-0.24,99.1,99.3,-4.4
142,Cincinnati,BE,11-19,1.85,99.4,97.5,66.9,-0.031,8.45,105.8,97.4,2.7
143,Arizona St.,P10,8-22,1.73,97.8,96.1,61.3,-0.092,8.85,105.6,96.8,-1.87
144,Green Bay,Horz,18-15,1.64,102.5,100.8,66.9,-0.003,-0.83,100.5,101.4,-3.98
145,Utah,MWC,11-19,1.61,109.7,108.1,63,-0.042,6.06,104.6,98.5,2.97
146,South Alabama,SB,20-12,1.59,100.1,98.5,67.4,0.016,-4.24,99,103.2,0.48
147,Penn St.,B10,11-19,1.37,104.4,103,65.4,-0.054,7.17,103.6,96.4,-4.99
148,Valparaiso,MCon,16-15,1.24,96.6,95.4,67.1,-0.001,-0.71,102.1,102.8,3.41
149,Siena,MAAC,20-12,1.11,102.7,101.6,71.4,-0.046,-6.83,96.9,103.7,-4.63
150,South Florida,BE,12-18,0.79,98.1,97.3,67.8,-0.065,4.67,102.6,97.9,-7.12
151,Illinois Chicago,Horz,14-18,0.71,102.2,101.4,69.1,-0.026,2.51,102.1,99.6,3.98
152,Towson,CAA,15-17,0.71,101.6,100.9,66.6,-0.031,-0.39,101.2,101.6,0.12
153,UC Santa Barbara,BW,18-11,0.59,100.8,100.2,66.6,0.017,-4.39,98.3,102.7,-4.55
154,Detroit,Horz,11-19,0.54,102.4,101.9,64.3,-0.053,1.99,101.9,99.9,2.9
155,Charlotte,A10,14-16,0.21,102.2,102,69,0.002,1.81,102.5,100.7,3.14
156,Cal Poly,BW,19-11,0.15,103.2,103,69.9,0.029,-4.73,98.7,103.4,-6.21
157,San Francisco,WCC,13-18,-0.07,100.9,101,71.1,-0.017,1.53,101.6,100.1,3.04
158,Idaho St.,BSky,13-17,-0.16,100.5,100.6,63.1,-0.073,-1.97,101.2,103.2,7.62
159,San Diego,WCC,18-14,-0.47,103.2,103.7,71.7,0.042,-0.94,99.5,100.4,-3.05
160,Minnesota,B10,9-22,-0.51,96.8,97.3,66.7,-0.029,9.02,104.4,95.4,1.3
161,Northern Arizona,BSky,18-12,-0.86,106.2,107,74.3,0.071,-3.85,99.7,103.6,2.52
162,North Texas 15,SB,23-11,-0.99,98.1,99.1,71.9,0.034,-6.53,98.5,105,-4.54
163,Austin Peay,OVC,21-12,-0.99,101.1,102.1,67.7,0.064,-6.22,97.7,103.9,7.98
164,UNC Greensboro,SC,16-14,-1.25,97.9,99.2,69.1,0.005,-3.72,98.3,102.1,-3.97
165,Northwestern St.,Slnd,17-15,-1.26,100.9,102.1,76.3,0,-4.21,98.1,102.3,2.74
166,East Tennessee St.,ASun,24-10,-1.46,94.8,96.3,72.3,0.1,-7.52,96.4,103.9,-2.18
167,American,Pat,16-14,-1.5,95.9,97.4,66.3,-0.051,-7.41,95,102.4,-8.03
168,SMU,CUSA,14-17,-1.52,97.6,99.1,63.7,-0.049,0.44,99,98.5,-4.57
169,UC Irvine,BW,15-18,-1.61,95.4,97,67.4,-0.028,-2.52,100.5,103,-0.66
170,Tennessee Tech,OVC,19-13,-1.65,98.8,100.5,72.1,0.008,-5.84,98.3,104.1,7.95
171,TCU,MWC,13-17,-1.91,92,93.9,68.8,0.038,3.2,102.9,99.7,-5.98
172,Rice,CUSA,16-16,-1.92,99.1,101,68.3,0.054,1.62,100.8,99.2,0.91
173,Yale,Ivy,14-13,-2,99.1,101.1,67.9,-0.017,-4.11,98.4,102.5,-1
174,Oregon St.,P10,11-21,-2.06,97.8,99.9,67.3,-0.032,7.61,104.4,96.8,-5.96
175,High Point,BSth,22-10,-2.11,96.6,98.7,70.7,0.055,-8.28,96.8,105.1,-7.21
176,Portland St.,BSky,19-13,-2.11,99.8,101.9,73.7,0.032,-5.52,99,104.5,-2.56
177,Central Connecticut 16,NEC,22-12,-2.28,99.4,101.7,66.7,0.061,-7.61,97,104.7,-4.65
178,Youngstown St.,Horz,14-17,-2.45,98,100.4,68,0.036,2.11,102.7,100.6,2.6
179,Cal St. Fullerton,BW,20-10,-2.47,100.6,103.1,75.7,0.066,-6.4,97.1,103.5,-10.39
180,Eastern Kentucky 16,OVC,21-12,-2.49,98.4,100.8,64.2,0.077,-6.74,97.7,104.4,2.46
181,Eastern Washington,BSky,15-14,-2.51,108.3,110.8,74.5,-0.02,-3.59,99.7,103.3,3.24
182,IUPUI,MCon,15-15,-2.51,102.4,104.9,65.9,-0.021,-2.36,99.3,101.7,-1.4
183,Southern Utah,MCon,16-14,-2.57,99.2,101.8,65.2,-0.004,-3.48,100.2,103.7,-3.17
184,Weber St. 15,BSky,20-12,-2.64,98,100.6,68,0.098,-3.44,101.2,104.7,0.37
185,Lipscomb,ASun,18-13,-2.69,99.2,101.9,64.8,-0.016,-7.34,96.9,104.3,2.48
186,Northeastern,CAA,13-19,-2.69,97,99.7,66.6,0.013,1.27,101.7,100.4,5.38
187,Sacred Heart,NEC,18-14,-2.76,103.2,106,74,0.021,-7.5,96.9,104.4,-0.81
188,Niagara 16,MAAC,23-12,-2.77,102.6,105.3,71.7,0.119,-5.83,97.7,103.5,-4.33
189,Marshall,CUSA,13-19,-2.88,95.7,98.6,69.8,0.074,2.41,101.2,98.8,1.63
190,Cornell,Ivy,16-12,-3,100,103,65.6,0.002,-6.41,96.5,102.9,-6.41
191,Loyola MD,MAAC,18-13,-3.04,102.6,105.6,68.1,0.001,-7.29,96.2,103.5,-6.67
192,Montana,BSky,17-15,-3.14,103.6,106.7,65.3,-0.008,-3.77,100.2,104,0.58
193,Furman,SC,15-16,-3.51,99.4,102.9,66.1,0.018,-1.59,99.9,101.5,-0.77
194,Boston University,AE,12-18,-3.74,94.8,98.6,62.4,-0.102,-4.54,97.9,102.4,-0.71
195,Louisiana Tech,WAC,10-20,-3.75,95.3,99,68.8,-0.012,1.96,100.3,98.3,-0.96
196,Stephen F. Austin,Slnd,15-14,-3.78,94.2,98,64,-0.076,-5.93,97.4,103.4,-2.9
197,Buffalo,MAC,12-19,-3.84,94,97.9,73,0.013,0.34,101,100.7,-1.25
198,William & Mary,CAA,15-15,-3.88,98.1,102,65.2,0.02,-3.04,98.8,101.8,-8.39
199,Georgia Southern,SC,15-16,-4.09,93.4,97.5,70.8,-0.025,-4.44,98,102.4,-4.1
200,Delaware St.,MEAC,21-13,-4.1,101.9,106,57.6,0.109,-8.01,95.2,103.2,9.74
201,Chattanooga,SC,15-18,-4.24,95.6,99.9,68.2,-0.027,-1.42,99.7,101.1,-0.12
202,Middle Tennessee,SB,15-17,-4.27,94,98.3,63.8,0.002,-3.52,100.2,103.7,3.62
203,Chicago St.,ind,9-20,-4.62,102.8,107.4,70.5,-0.01,2.39,102.1,99.7,2.39
204,Arkansas St.,SB,18-15,-4.92,98.9,103.8,70.5,0.038,-6.09,98.3,104.3,-3.54
205,Ball St.,MAC,9-22,-4.94,92,96.9,65.9,-0.09,1.22,100.8,99.6,4.37
206,Fairfield,MAAC,13-19,-5.12,97.8,102.9,62.5,-0.001,-2.65,99.1,101.8,5.28
207,Rutgers,BE,10-19,-5.17,96.6,101.7,63.6,0.049,6.76,103.3,96.5,-0.76
208,Columbia,Ivy,16-12,-5.17,100.7,105.8,64.2,0.048,-7.42,96.1,103.6,-9.02
209,Pacific,BW,12-19,-5.22,100.6,105.8,65.4,-0.029,-1.78,99.9,101.7,1.32
210,Milwaukee,Horz,9-22,-5.23,95.9,101.2,69.3,0.032,3.02,102.7,99.6,4.02
211,Robert Morris,NEC,17-11,-5.39,102.4,107.8,69.1,0.003,-9.13,96.2,105.4,-6.15
212,Loyola Marymount,WCC,13-18,-5.43,91.3,96.7,70.1,0.095,2.76,102.5,99.7,5.42
213,UMKC,MCon,12-20,-5.55,103,108.6,68.2,-0.015,-1.54,100.2,101.7,-0.17
214,Central Michigan,MAC,13-18,-5.81,95.8,101.6,68.7,0.076,-0.38,99.9,100.3,-1.34
215,Lamar,Slnd,15-17,-5.88,99.2,105.1,72.1,0.016,-3.58,98.6,102.2,3.01
216,Bowling Green,MAC,13-18,-5.98,95.4,101.4,70.1,0.027,-1.2,99.6,100.8,-6.36
217,Colorado,B12,7-20,-5.99,96.9,102.9,73.6,0.036,7.51,105.3,97.8,-2.08
218,Murray St.,OVC,16-14,-6.11,93.8,100,67.4,0.051,-6.85,97.7,104.5,7.12
219,Liberty,BSth,14-17,-6.25,97.4,103.6,72.8,-0.055,-5.98,98.2,104.2,-3.05
220,Pepperdine,WCC,8-23,-6.42,100.8,107.2,75.5,-0.025,0.39,100.9,100.5,-0.3
221,Samford,OVC,16-16,-6.59,101.9,108.5,57.1,0.044,-5.24,97.9,103.2,7.44
222,Duquesne,A10,10-19,-6.61,103.4,110,75.5,0.028,0.29,102.4,102.1,0.72
223,Eastern Michigan,MAC,13-19,-6.69,93.8,100.5,68.6,0.064,-0.35,100,100.3,-0.65
224,Binghamton,AE,13-16,-6.7,93.9,100.6,69.2,-0.047,-7.91,95.9,103.8,-9.29
225,UNC Wilmington,CAA,7-22,-6.89,95.1,102,68.2,-0.043,1.11,101.8,100.7,1.96
226,Brown,Ivy,11-18,-7.03,94.2,101.2,64.3,-0.025,-4.99,98.2,103.2,-4.2
227,Troy,SB,13-17,-7.06,100.5,107.5,70,0.018,-4.6,99.5,104.1,-0.58
228,Florida Atlantic,SB,16-15,-7.08,100.1,107.2,72.3,0.095,-5.19,99.2,104.4,-2.08
229,Southeastern Louisiana,Slnd,16-14,-7.09,97.8,104.9,66.2,0.076,-5.86,97.8,103.7,-3.85
230,Northern Illinois,MAC,7-23,-7.11,97.2,104.3,69.1,-0.084,-0.11,100.5,100.6,-0.57
231,New Orleans,SB,14-17,-7.12,103.4,110.6,67.4,0.004,-5.13,98.6,103.7,1.81
232,Cleveland St.,Horz,10-21,-7.2,95,102.2,66.3,-0.023,2.37,102.5,100.1,2.13
233,San Jose St.,WAC,5-25,-7.36,90.8,98.1,69,-0.019,3.65,102.8,99.1,4.67
234,Cal St. Northridge,BW,14-17,-7.55,93.8,101.3,73.7,0.015,-3.73,99.6,103.3,-4.26
235,Coastal Carolina,BSth,15-15,-7.79,98.5,106.3,69.4,-0.031,-6.94,96.6,103.5,-5.7
236,La Salle,A10,10-20,-7.95,99.5,107.4,70.2,-0.076,-2.86,100,102.8,-8.72
237,VMI,BSth,14-19,-8.04,102.2,110.3,91.1,-0.08,-8.21,96.4,104.6,-11.02
238,Hartford,AE,13-18,-8.19,94.3,102.5,65.7,0.023,-5.85,96.8,102.7,-4.59
239,Western Carolina,SC,11-20,-8.27,96.9,105.2,69.9,0.005,-0.61,100.2,100.8,4.5
240,Mount St. Mary's,NEC,11-20,-8.33,91.1,99.5,67.3,-0.042,-6.72,98.5,105.3,-0.81
241,Georgia St.,CAA,11-20,-8.59,96.7,105.3,66.4,0.045,0.36,101.1,100.7,-2.34
242,UNC Asheville,BSth,12-19,-8.75,93.2,102,70.7,-0.02,-3.45,100,103.5,1.35
243,Louisiana Monroe,SB,18-14,-8.82,97.6,106.4,69.3,0.101,-6.07,98.1,104.2,0.47
244,Rider,MAAC,16-15,-8.93,97.9,106.8,70.4,0.11,-6.42,96.7,103.2,-3.78
245,Canisius,MAAC,12-19,-8.97,95.5,104.5,70,-0.016,-6.14,97.7,103.8,-4.16
246,Jacksonville,ASun,15-14,-9.11,96.8,105.9,72.2,0.077,-7.39,96.4,103.8,3.87
247,Hampton,MEAC,15-16,-9.13,88.8,98,72,-0.016,-10.98,94.7,105.7,0.13
248,IPFW,ind,12-17,-9.13,94.9,104,68.7,0.013,-2.3,99.4,101.7,1.56
249,Mississippi Valley St.,SWAC,18-16,-9.19,89.1,98.3,66.5,0.062,-11.34,91.8,103.1,2.58
250,Jackson St. 16,SWAC,21-14,-9.23,95.5,104.7,72.7,0.139,-11.35,91.4,102.7,2.76
251,Lehigh,Pat,12-19,-9.26,93.1,102.4,65.8,-0.006,-4.7,97.3,102,-2.79
252,Wofford,SC,10-20,-9.29,100.5,109.8,68.3,-0.018,-1.9,99.2,101.1,2.79
253,Quinnipiac,NEC,14-15,-9.31,94.9,104.2,72,0.023,-8.47,96.2,104.7,-5.34
254,Arkansas Little Rock,SB,13-17,-9.41,96.2,105.6,65.8,0.04,-5.58,98.8,104.4,-0.49
255,Florida A&M 16,MEAC,21-14,-9.45,95.8,105.2,70.2,0.104,-10.84,93.6,104.5,6.23
256,Centenary,MCon,10-21,-9.59,95.2,104.8,70.2,-0.007,-2.03,101.1,103.1,-2.17
257,Harvard,Ivy,12-16,-9.69,99.1,108.7,72.7,0.088,-4.27,97.7,102,-3.15
258,Monmouth,NEC,12-18,-9.69,95.1,104.8,65.8,-0.014,-6.55,97.3,103.9,-0.14
259,Fairleigh Dickinson,NEC,14-16,-9.73,97,106.7,71.7,0.064,-7.39,97,104.4,-2.17
260,Manhattan,MAAC,13-17,-9.83,92.9,102.7,68.9,0.075,-5.96,97.6,103.6,-4.55
261,UT Arlington,Slnd,13-17,-9.84,96.8,106.7,72.7,0.044,-6.46,96.3,102.8,-4.74
